Name,RA_Simbad,DEC_Simbad
CRTS J064729.3+495027                                          ,06 47 29.3046498963,+49 50 26.956012994
V1375 Cen                                          ,11 51 13.0175324290,-62 37 29.151332668
OGLE BLG501.24  34934                          ,17 49 54.63        ,-29 43 35.4        
V902 Mon                                          ,06 27 46.4046306073,+01 48 11.028424272
2MASS J08384911-4831248                                          ,08 38 49.1087130822,-48 31 24.816483698
UCAC3 232-65219                                          ,06 32 13.1150519827,+25 36 22.893634415
2MASS J03451159+5335144                                          ,03 45 11.5880626604,+53 35 14.667430988
HS 0218+3229                                          ,02 21 33.4824740036,+32 43 23.887860593
CRTS J172951.6+220808                                          ,17 29 51.5993596385,+22 08 08.080290909
UGPS J063938.60+055352.9                          ,06 39 38.60        ,+05 53 52.9        
OGLE GD-DN-20                          ,10 52 11.85        ,-61 41 14.3        
SDSS J161909.10+135145.5                                          ,16 19 09.0975816179,+13 51 45.617139033
CRTS J090210.2-113032                                          ,09 02 10.2502337822,-11 30 31.706907097
NOVA Oph 2007                          ,17 42 44.00        ,-23 40 35.1        
OGLE GD-DN-6                          ,10 39 47.75        ,-62 55 29.4        
2MASS J06443435+3344566                                          ,06 44 34.3633612200,+33 44 56.612364643
NOVA Del 2013                                          ,20 23 30.6864752010,+20 46 03.777415270
GSC 04560-02157                                          ,15 43 36.6545134844,+75 15 41.081573560
2MASS J04570832+4527499                                          ,04 57 08.3212242261,+45 27 50.008910311
TYC 3556-325-1                                          ,19 31 29.1493964671,+45 59 06.099062420
CRTS SSS120215 J122443-410158                       ,12 24 43.0         ,-41 01 58          
2MASS J15445360+2553488                                          ,15 44 53.6043764062,+25 53 48.950802983
2MASS J15092601-6649232                                          ,15 09 26.0167449792,-66 49 23.280117933
AX J1740.3-2904                                          ,17 40 16.1010922868,-29 03 38.002729535
2MASS J05181432+2941130                                          ,05 18 14.3299034009,+29 41 13.040844763
2MASS J07420823-1049326                                          ,07 42 08.2376218233,-10 49 32.483811064
[JBN2011] 93                          ,17 44 44.79        ,-26 03 30.3        
V667 Pup                          ,07 32 37.64        ,-13 31 09.3        
SDSS J080534.49+072029.1                                          ,08 05 34.4949748212,+07 20 29.138670568
OGLE J175318.69-291717.3                                          ,17 53 18.7152593287,-29 17 17.573661887
IGR J18308-1232                    ,18 30 50           ,-12 32.3           
NOVA TrA 2008                          ,16 18 48.21        ,-60 27 48.9        
NOVA LMC 1995                          ,05 26 50.15        ,-70 01 26.4        
NOVA Sgr 2011 b                          ,18 10 21.35        ,-23 05 30.6        
OGLE BLG-ECL-102                          ,17 59 11.72        ,-26 24 39.8        
INTEGRAL1  19                                          ,16 16 37.7618836664,-49 58 44.567852659
2MASS J21380504+2638196                                          ,21 38 05.0418164050,+26 38 19.678182045
OGLE BLG-ECL-209                          ,18 22 16.17        ,-29 56 39.7        
LS  IV -08    3                                          ,16 56 29.6223760480,-08 34 38.708195904
HV Cet,03 05 59.0,+05 47 15
2MASS J00325771-7420053,00 32 57.719,-74 20 05.39
CAL 87,05 46 48.3,-71 09 24
J1051-6127,10 51 36.7,-51 27 39
2MASS J05274893-6954244,05 27 48.9303842833,-69 54 24.559633992
NOVA Oph 2012 b,17 39 56.0,-24 47 42
2205+0201,22 08 07.5,+02 16 20
