Name,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb.Per,Distance,5%,95%
V400 Per    , 03 07 38.3  , +47 07 40   ,Na,  ,19.85,0.179000,-2.54,0.02,0.02
J1806-2907  , 18 06 24.4  , -29 07 45   ,NL,UX,18.30,0.178432,-142.63,0.02,0.01
J1037-6249  , 10 37 28.4  , -62 49 29   ,DN,UG,19.92,0.177939,3508.74,2102.27,4347.70
V405 Peg    , 23 09 49.2  , +21 35 18   ,DN,  ,15.28,0.177647,172.90,2.98,3.01
U  Gem      , 07 55 05.3  , +22 00 06   ,DN,UG,13.91,0.176906,93.35,0.42,0.43
ES Dra      , 15 25 31.8  , +62 01 00   ,DN,ZC,15.29,0.176600,676.78,22.87,24.07
CW Mon      , 06 36 54.5  , +00 02 16   ,DN,UG,15.95,0.176600,343.83,13.63,14.96
NGC 104-W15 , 00 24 08.3  , -72 05 00   ,CV,  , nan,0.176400,nan,nan,nan
J1754-3157  , 17 54 32.5  , -31 57 52   ,NL,UX,19.24,0.176348,3232.56,1814.87,4285.02
UZ Ser      , 18 11 24.9  , -14 55 34   ,DN,ZC, nan,0.175890,nan,nan,nan
WW Cet      , 00 11 24.8  , -11 28 43   ,DN,ZC,13.55,0.175800,218.12,3.70,3.59
V504 Cen    , 14 12 49.1  , -40 21 37   ,NL,VY, nan,0.175567,nan,nan,nan
GY Cnc      , 09 09 50.6  , +18 49 47   ,DN,UG,16.06,0.175442,264.37,7.70,8.26
V436 Car    , 07 44 57.9  , -52 57 13   ,NL,  ,15.51,0.175300,668.56,23.81,26.53
J2048+0050  , 20 48 27.9  , +00 50 09   ,NL,AM,18.25,0.175000,621.28,98.67,144.21
LS Peg      , 21 51 57.9  , +14 06 54   ,NL,IP,12.31,0.174774,287.62,5.82,5.91
V1043 Cen   , 13 13 17.1  , -32 59 12   ,NL,AM,15.11,0.174592,172.81,1.92,1.92
V729 Sgr    , 19 16 49.2  , -26 14 33   ,DN,  ,15.34,0.173406,445.94,12.92,13.45
V849 Oph    , 18 14 07.3  , +11 36 43   ,Nb,  ,18.35,0.172757,4592.07,2260.40,4533.43
V405 Aur    , 05 57 59.3  , +53 53 45   ,NL,IP,13.95,0.172620,675.87,22.06,22.67
J0035+4623  , 00 35 35.7  , +46 23 53   ,DN,  ,16.23,0.172275,474.50,19.17,21.35
0035-7230   , 00 37 19.8  , -72 14 14   ,SS,EG,20.32,0.172000,3690.78,2185.35,4615.41
FO Per      , 04 08 35.0  , +51 14 48   ,DN,UG,16.16,0.171900,586.60,29.82,30.33
J2216+4646  , 22 16 50.3  , +46 46 41   ,NL,IP,14.91,0.171802,401.12,6.26,6.60
V516 Cyg    , 20 47 09.8  , +41 55 27   ,DN,UG,15.61,0.171200,735.83,36.81,40.84
LT Eri      , 04 07 14.8  , -06 44 25   ,DN,NS,17.24,0.170170,680.98,60.48,73.78
NGC 6752-CX1, 19 10 51.1  , -59 59 12   ,DN,  ,12.69,0.170000,-13.36,0.02,0.02
J0927-3910  , 09 27 51.9  , -39 10 52   ,  ,  ,16.47,0.170000,1844.33,276.42,382.37
J1856+4537  , 18 56 08.1  , +45 37 40   ,  ,  ,14.99,0.170000,986.08,43.93,51.09
LZ Mus      , 11 56 09.0  , -65 34 21   ,N ,  ,17.10,0.169300,6153.07,2097.83,3952.11
0139+0559   , 01 41 40.0  , +06 14 37   ,NL,UX,15.07,0.169200,1346.27,168.46,206.55
VW Vul      , 20 57 45.1  , +25 30 26   ,DN,ZC,15.52,0.168700,542.46,21.63,22.51
J1758-3119  , 17 58 54.1  , -31 19 01   ,DN,  ,18.02,0.168325,839.26,214.97,424.59
0922+1333   , 09 24 56.0  , +13 20 53   ,NL,AM,16.48,0.168312,163.46,5.65,6.43
V1033 Cas   , 00 22 57.6  , +61 41 08   ,NL,IP,16.63,0.168000,1588.60,199.22,265.01
DO Aql      , 19 31 25.9  , -06 25 38   ,Nc,  ,18.69,0.167762,4100.15,2217.69,4260.72
J1923+6124  , 19 23 28.3  , +61 24 13   ,  ,  ,18.53,0.167700,2628.49,987.42,2601.20
J1753-2134  , 17 53 26.4  , -21 34 05   ,NL,UX, nan,0.167116,nan,nan,nan
J1831+6511  , 18 31 44.5  , +65 11 32   ,DN,  ,16.40,0.167000,815.09,39.38,43.53
J1719-4100  , 17 19 35.9  , -41 00 54   ,NL,IP,15.33,0.166900,655.38,27.72,29.75
DO Dra      , 11 43 38.3  , +71 41 20   ,DN,IP,15.16,0.165374,197.72,1.93,1.99
J1927+4447  , 19 27 48.5  , +44 47 25   ,DN,  ,18.94,0.165308,941.15,206.30,334.85
AM Cas      , 02 26 23.4  , +71 18 32   ,DN,UG,14.45,0.165200,434.45,7.74,7.97
V1193 Ori   , 05 16 26.7  , -00 12 14   ,NL,UX,14.01,0.165001,818.69,41.44,47.11
J2200+0334  , 22 00 31.2  , +03 34 30   ,DN,ZC,18.72,0.165000,4401.45,2288.94,4784.68
V1776 Cyg   , 20 23 30.5  , +46 31 30   ,NL,UX,16.58,0.164739,1101.47,104.76,125.65
X  Leo      , 09 51 01.5  , +11 52 31   ,DN,UG,15.47,0.164400,397.86,20.57,24.33
J0153+7446  , 01 53 20.9  , +74 46 22   ,NL,IP,16.55,0.164150,1645.49,203.91,259.04
Lanning 386 , 21 08 34.0  , +39 05 35   ,DN,SW,17.14,0.164052,579.75,35.45,43.58
V842 Cen    , 14 35 52.6  , -57 37 35   ,Na,NL,16.36,0.164000,1393.04,145.27,186.61
UU Aqr      , 22 09 05.7  , -03 46 18   ,NL,UX,13.58,0.163805,256.22,8.23,8.80
J1305-5755  , 13 05 59.5  , -57 55 00   ,  ,  ,16.92,0.163700,1676.38,278.11,402.98
UU Aql      , 19 57 18.7  , -09 19 21   ,DN,UG,16.09,0.163532,313.79,8.66,9.34
J0940+2749  , 09 40 02.6  , +27 49 42   ,DN,UG,18.02,0.163520,987.10,278.25,698.49
J2152+19    , 21 52 00.0  , +19 00 00   ,NL,IP, nan,0.163201,nan,nan,nan
CN Ori      , 05 52 07.8  , -05 25 01   ,DN,UG,13.71,0.163199,352.10,8.64,9.12
AR And      , 01 45 03.3  , +37 56 33   ,DN,UG,16.32,0.163000,450.20,50.22,63.48
KR Aur      , 06 15 43.9  , +28 35 09   ,NL,VY,18.64,0.162800,498.32,127.69,261.57
KT Per      , 01 37 08.7  , +50 57 20   ,DN,UG,14.54,0.162658,242.27,4.93,5.55
CM Del      , 20 24 56.9  , +17 17 54   ,NL,UX,13.90,0.162000,407.19,7.89,8.48
V367 Peg    , 22 45 00.7  , +16 55 14   ,DN,  , nan,0.161900,nan,nan,nan
0229+8016   , 02 35 58.3  , +80 29 44   ,NL,UX,13.97,0.161490,486.64,8.03,8.52
J1820-2414  , 18 20 38.4  , -24 14 31   ,NL,UX, nan,0.161329,nan,nan,nan
J1804-2659  , 18 04 16.6  , -26 59 10   ,NL,UX, nan,0.161177,nan,nan,nan
VZ Aqr      , 21 30 24.6  , -02 59 18   ,DN,UG,17.52,0.160600,603.23,79.33,98.59
J2337+4308  , 23 37 59.2  , +43 08 52   ,NL,VY,16.18,0.160500,950.82,97.12,121.06
J1930+5157  , 19 30 59.2  , +51 57 36   ,DN,SU,19.23,0.160100,2484.08,1195.95,3317.51
J0812+1911  , 08 12 56.8  , +19 11 58   ,NL,NS,16.08,0.160053,775.51,62.01,77.54
V4077 Sgr   , 18 34 39.4  , -26 26 03   ,Nb,  , nan,0.160000,nan,nan,nan
J1446+0253  , 14 47 00.0  , +02 53 30   ,NL,IP,17.93,0.160000,1315.05,559.71,2164.67
V2467 Cyg   , 20 28 12.5  , +41 48 36   ,Na,NL,18.02,0.159600,2934.34,1143.68,2808.77
CY Lyr      , 18 52 41.4  , +26 45 30   ,DN,UG,15.82,0.159100,490.19,15.59,16.97
J1751-3516  , 17 51 42.8  , -35 16 35   ,NL,UX,18.78,0.158999,-107.26,0.01,0.02
VY For      , 03 32 04.6  , -25 56 56   ,NL,AM,18.74,0.158600,739.50,163.16,287.64
LX Ser      , 15 38 00.1  , +18 52 03   ,NL,VY,14.96,0.158432,492.62,15.79,17.82
IP Peg      , 23 23 08.6  , +18 24 59   ,DN,UG,14.71,0.158206,141.20,1.59,1.63
V382 Vel    , 10 44 48.4  , -52 25 31   ,Na,  ,16.26,0.158100,1825.22,259.28,363.24
V523 Lyr    , 19 21 07.5  , +37 47 57   ,NL,VY,18.15,0.158000,5001.61,2102.32,4664.06
J0227+1306  , 02 27 32.9  , +13 06 17   ,NL,AM,17.21,0.157799,472.12,28.50,34.62
J1040-4701  , 10 40 00.0  , -47 01 26   ,NL,  ,16.22,0.157700,1659.71,209.95,289.08
J1740-2418  , 17 40 48.9  , -24 18 34   ,NL,AM, nan,0.157370,nan,nan,nan
J2108-0350  , 21 08 46.4  , -03 50 32   ,DN,UG,17.79,0.156927,795.38,143.15,218.88
0642+5049   , 06 46 19.6  , +50 45 48   ,NL,UX,15.47,0.156900,1568.46,201.10,291.29
J1031-4626  , 10 31 35.0  , -46 26 39   ,NL,  ,16.91,0.156700,1703.51,266.17,384.40
V5582 Sgr   , 17 45 05.4  , -20 03 22   ,N ,  , nan,0.156604,nan,nan,nan
V811 Cyg    , 19 48 23.3  , +36 26 23   ,DN,UG,16.04,0.156560,513.17,19.30,21.11
V1493 Aql   , 19 07 36.9  , +12 31 27   ,Na,  ,17.28,0.156000,-7.86,0.02,0.01
SV CMi      , 07 31 08.4  , +05 58 49   ,DN,UG,16.03,0.156000,458.48,31.14,34.95
BH Lyn      , 08 22 36.0  , +51 05 25   ,NL,SW,15.40,0.155875,787.67,48.38,57.20
V447 Lyr    , 19 00 19.9  , +44 27 45   ,DN,UG, nan,0.155627,nan,nan,nan
J0449-1841  , 04 49 02.7  , -18 41 29   ,DN,  ,17.97,0.155540,786.27,153.42,262.76
J1424-0227  , 14 24 39.0  , -02 27 39   ,NL,AM,18.10,0.155500,447.54,81.93,125.19
OY Ara      , 16 40 50.3  , -52 25 51   ,Na,SW,18.67,0.155466,2474.22,1113.04,3152.52
GS Pav      , 20 08 07.6  , -69 48 58   ,NL,VY,16.30,0.155270,554.12,26.87,28.27
IW And      , 01 01 08.9  , +43 23 26   ,DN,ZC,15.05,0.155000,851.27,84.91,105.22
PY Per      , 02 50 00.1  , +37 39 23   ,DN,ZC,15.79,0.154800,509.54,42.90,51.89
J1654-1916  , 16 54 43.7  , -19 16 31   ,NL,IP,15.48,0.154800,1106.77,92.15,109.11
QQ Vul      , 20 05 41.9  , +22 39 59   ,NL,AM,15.63,0.154520,317.56,6.87,7.43
2117-5417   , 21 21 26.6  , -54 04 34   ,NL,  ,13.74,0.154500,537.80,14.65,14.73
J1226-2527  , 12 26 17.3  , -25 27 04   ,DN,  ,17.90,0.154400,981.26,228.87,444.99
V380 Oph    , 17 50 13.7  , +06 05 29   ,NL,VY,14.63,0.154107,682.97,49.81,64.73
BB Dor      , 05 29 28.7  , -58 54 46   ,NL,SW,14.10,0.154095,922.97,35.57,37.37
V373 Sct    , 18 55 26.7  , -07 43 06   ,Na,IP, nan,0.154000,nan,nan,nan
LD 317      , 23 44 57.4  , +43 31 22   ,NL,VY,15.41,0.154000,407.02,15.24,16.76
0758+4019   , 08 02 15.3  , +40 10 46   ,NL,  ,16.65,0.153900,1323.63,184.82,260.46
WY Sge      , 19 32 43.8  , +17 44 55   ,N ,DN,18.30,0.153635,948.54,167.05,279.38
V992 Sco    , 17 07 17.5  , -43 15 22   ,Nb,  ,17.51,0.153580,3124.94,1309.90,3317.18
V4579 Sgr   , 18 03 37.9  , -28 00 09   ,Nb,  ,15.35,0.153561,1169.91,147.97,201.36
J1129-5355  , 11 29 21.7  , -53 55 44   ,NL,  ,15.98,0.153550,1508.50,149.41,185.14
BZ Cam      , 06 29 34.0  , +71 04 37   ,NL,VY,12.93,0.153530,372.47,8.32,8.37
V794 Aql    , 20 17 34.0  , -03 39 51   ,NL,VY,14.66,0.153300,653.30,32.00,37.52
J1024-4826  , 10 24 42.0  , -48 26 43   ,  ,  ,17.07,0.153000,809.55,53.25,58.11
BP Lyn      , 09 03 08.9  , +41 17 48   ,NL,UX,14.17,0.152812,698.57,33.31,38.12
AB Dra      , 19 49 06.5  , +77 44 24   ,DN,UG,14.73,0.152000,409.75,7.16,7.40
V999 Sgr    , 18 00 05.6  , -27 33 14   ,Nb,  ,16.90,0.151841,5345.49,2181.50,4234.32
LX And      , 02 19 44.1  , +40 27 22   ,DN,UG,15.73,0.150974,541.14,31.69,35.97
J1649-3307  , 16 49 55.6  , -33 07 02   ,NL,IP,15.91,0.150700,1184.79,129.66,165.30
V5113 Sgr   , 18 10 10.4  , -27 45 33   ,N ,  ,19.01,0.150015,278.38,53.42,86.53
EF Tuc      , 00 01 55.0  , -67 07 44   ,DN,  ,14.75,0.150000,1395.42,71.22,81.93
NGC 104-CV1 , 00 24 04.3  , -72 04 58   ,NL,IP, nan,0.150000,nan,nan,nan
NGC 6752-CV2, 19 10 52.0  , -59 58 56   ,GC,DN, nan,0.150000,nan,nan,nan
J0749-0549  , 07 49 10.4  , -05 49 26   ,NL,AM,17.88,0.150000,1251.57,261.63,436.90
LU Cam      , 05 58 18.0  , +67 53 46   ,NL,SH,16.45,0.149969,669.89,38.40,43.50
AO Psc      , 22 55 18.0  , -03 10 40   ,NL,IP,13.23,0.149627,495.30,16.66,18.57
V425 Cas    , 23 03 46.6  , +53 17 15   ,NL,VY,14.57,0.149600,909.84,37.88,42.56
V1294 Tau   , 04 00 37.3  , +06 22 46   ,NL,VY,16.15,0.149500,1376.35,251.65,384.58
0220+0603   , 02 23 01.6  , +06 16 52   ,NL,UX,17.05,0.149208,756.05,103.56,134.10
0455+8315   , 05 06 48.5  , +83 19 23   ,NL,VY,15.07,0.148724,784.00,28.49,31.37
VZ Sex      , 09 44 31.7  , +03 58 05   ,DN,UG, nan,0.148700,nan,nan,nan
1813+6122   , 18 14 29.6  , +61 23 35   ,NL,UX,15.22,0.148000,810.01,30.64,31.11
V524 Hya    , 09 20 09.5  , +00 42 45   ,NL,SW,17.68,0.147878,3440.95,1858.06,4195.43
V2574 Oph   , 17 38 45.5  , -23 28 19   ,Na,NS,19.50,0.147700,-49.91,0.01,0.02
0506+7725   , 05 13 36.5  , +77 28 44   ,NL,VY,15.19,0.147700,995.87,48.30,53.97
V533 Her    , 18 14 20.5  , +41 51 23   ,Na,DQ,15.05,0.147000,1210.99,70.82,81.43
J0537-7034  , 05 37 44.6  , -70 33 47   ,SS,  , nan,0.147000,nan,nan,nan
J0942-1936  , 09 42 52.3  , -19 36 52   ,DN,  ,19.48,0.147000,1021.23,454.72,2661.92
PX And      , 00 30 05.8  , +26 17 27   ,NL,SW,14.85,0.146353,815.45,43.80,51.40
J1220-1027  , 12 20 59.8  , -10 27 35   ,DN,  ,19.68,0.146150,3407.32,2182.77,4782.51
Leo 5       , 10 28 00.1  , +21 48 14   ,DN,ZC,16.83,0.146100,1218.30,283.61,534.52
IM Eri      , 04 24 41.1  , -20 07 12   ,NL,UX,11.76,0.145635,191.28,2.33,2.45
CH CrB      , 16 07 45.0  , +36 23 21   ,NL,UX,18.84,0.145500,3224.05,1552.90,3862.36
V358 Aqr    , 23 16 03.6  , -05 27 08   ,NL,AM,18.63,0.145452,546.41,155.50,318.10
V2468 Cyg   , 19 58 33.4  , +29 52 07   ,Na,  ,17.70,0.145250,3879.73,1514.97,3536.72
V500 Aql    , 19 52 28.0  , +08 28 46   ,Na,  ,19.03,0.145200,2696.31,1503.13,4150.76
CP Lac      , 22 15 41.2  , +55 37 02   ,Na,SW,15.66,0.145143,1172.74,89.28,106.42
RR Pic      , 06 35 36.1  , -62 38 24   ,Nb,SW,12.41,0.145025,511.83,12.90,13.07
J0756-1246  , 07 56 48.9  , -12 46 54   ,NL,SW,16.86,0.145000,1706.89,300.17,431.58
J1007-2017  , 10 07 34.6  , -20 17 33   ,NL,AM,18.14,0.144864,998.25,239.54,460.82
VZ Scl      , 23 50 09.2  , -26 22 53   ,NL,VY,15.47,0.144622,562.07,29.00,32.66
V751 Cyg    , 20 52 12.8  , +44 19 26   ,VY,SW,14.28,0.144464,775.55,22.40,23.31
J2255-3449  , 22 55 04.2  , -34 49 18   ,NL,  ,16.56,0.144461,737.66,79.17,102.60
V647 Aur    , 06 36 32.6  , +35 35 43   ,NL,IP,16.01,0.144440,2404.29,514.82,927.82
LN UMa      , 10 04 34.7  , +66 29 15   ,NL,VY,15.16,0.144400,975.16,49.10,55.12
V1101 Aql   , 20 13 04.0  , +15 35 47   ,DN,  ,14.95,0.144200,718.91,26.59,28.18
UU Col      , 05 12 13.1  , -32 41 39   ,NL,IP,17.64,0.144000,3793.54,1419.68,2941.20
J1926+1322  , 19 26 27.0  , +13 22 05   ,NL,IP,18.07,0.143700,1699.71,501.35,1220.26
J0617-3626  , 06 17 53.8  , -36 26 55   ,CV,  ,17.94,0.143350,1026.81,245.58,557.05
J2014+1529  , 20 14 24.9  , +15 29 30   ,NL,IP,18.65,0.143300,1277.72,352.79,803.10
EV Lyn      , 07 54 43.0  , +50 07 29   ,NL,SW,17.52,0.143030,2130.83,801.45,2439.07
V584 Lyr    , 19 10 59.4  , +28 56 39   ,DN,  ,18.58,0.142900,2600.03,1060.50,3100.19
V909 Sgr    , 18 25 52.3  , -35 01 27   ,Na,  ,20.26,0.142900,3416.60,2346.97,4504.94
LS Cam      , 05 57 24.0  , +72 41 52   ,NL,IP,16.10,0.142500,1758.22,214.65,287.97
V2289 Cyg   , 19 34 36.1  , +51 07 41   ,DN,UG,17.91,0.142000,1699.82,317.51,504.29
V2400 Oph   , 17 12 36.4  , -24 14 45   ,NL,IP,14.06,0.142000,716.67,26.13,27.86
J0746-0934  , 07 46 55.5  , -09 34 31   ,DN,  ,13.59,0.141600,436.78,10.60,11.67
AQ Men      , 05 07 53.6  , -79 51 24   ,NL,NS,14.66,0.141471,561.73,12.68,12.81
MN Hya      , 09 29 07.1  , -24 05 05   ,NL,AM,17.20,0.141244,680.70,80.93,99.31
V849 Her    , 16 35 45.7  , +11 24 58   ,NL,  ,15.27,0.141000,1073.77,71.47,81.02
J1659+1927  , 16 59 51.7  , +19 27 46   ,NL,  ,17.07,0.141000,1706.92,304.01,511.44
AH Pic      , 05 57 12.7  , -59 35 26   ,NL,UX,14.20,0.140950,576.50,12.82,13.38
V388 Peg    , 21 57 32.4  , +08 55 14   ,NL,AM,17.97,0.140630,719.41,110.15,174.31
J1422-0221  , 14 22 56.4  , -02 21 07   ,NL,AM,19.20,0.140400,1344.67,584.33,2401.36
J0439-6809  , 04 39 49.7  , -68 09 02   ,SS,  , nan,0.140300,nan,nan,nan
V1223 Sgr   , 18 55 02.2  , -31 09 49   ,NL,IP,13.07,0.140244,581.79,24.17,27.14
V1432 Aql   , 19 40 11.5  , -10 25 25   ,NL,AM,15.71,0.140236,463.18,15.75,16.32
RR Cha      , 13 26 24.2  , -82 19 43   ,Na,SH,18.53,0.140100,2523.42,1058.85,3041.25
J1751-2934  , 17 51 22.7  , -29 34 36   ,NL,AM,18.69,0.140000,3414.49,1983.27,4957.19
BO Cet      , 02 06 39.2  , -02 03 43   ,NL,SW,14.37,0.139800,521.09,16.08,16.63
BY Cam      , 05 42 48.9  , +60 51 32   ,NL,AM,14.99,0.139753,272.39,3.69,3.90
V1315 Aql   , 19 13 54.5  , +12 18 03   ,NL,UX,14.35,0.139690,448.87,10.09,10.50
TT Tri      , 01 31 59.7  , +29 49 22   ,NL,UX,15.43,0.139637,552.90,22.36,24.68
V1500 Cyg   , 21 11 36.6  , +48 09 02   ,Na,NL,18.51,0.139613,1614.95,566.74,1587.71
WX Ari      , 02 47 36.2  , +10 35 39   ,NL,UX,17.97,0.139351,698.39,101.71,138.68
DY Pup      , 08 13 48.4  , -26 33 57   ,Nb,  ,19.19,0.139000,3903.98,2179.72,4630.22
V378 Peg    , 23 40 04.3  , +30 17 47   ,NL,NS,13.88,0.138580,945.77,46.41,52.28
V1668 Cyg   , 21 42 35.2  , +44 01 55   ,Na,  ,20.43,0.138400,-1.13,0.02,0.02
V728 Sco    , 17 39 05.6  , -45 27 14   ,Na,  ,18.38,0.138340,1823.25,746.48,2560.22
V603 Aql    , 18 48 54.6  , +00 35 03   ,Na,SH,11.84,0.138201,314.11,11.04,11.79
TT Ari      , 02 06 53.1  , +15 17 43   ,VY,SW,10.92,0.137550,257.86,7.57,8.20
V5585 Sgr   , 18 07 27.0  , -29 00 44   ,Na,  , nan,0.137526,nan,nan,nan
J0229-3959  , 02 29 16.9  , -39 59 20   ,NL,VY, nan,0.137000,nan,nan,nan
2133+0513   , 21 35 59.3  , +05 27 00   ,NL,VY,16.16,0.137000,1550.55,431.11,899.02
J0756+0858  , 07 56 53.1  , +08 58 32   ,NL,UX,17.43,0.136974,1236.97,197.25,284.61
J2142-6748  , 21 42 17.3  , -67 48 01   ,DN,  ,16.57,0.136710,445.86,20.85,23.26
OZ Dra      , 13 27 23.4  , +65 28 54   ,NL,UX,18.75,0.136632,2706.23,1175.10,3262.30
DW UMa      , 10 33 53.0  , +58 46 55   ,NL,SW,14.14,0.136607,587.77,19.92,21.32
J1206+5100  , 12 06 15.7  , +51 00 47   ,NL,LA,18.69,0.136600,335.80,40.20,50.63
XX Tau      , 05 19 24.5  , +16 43 00   ,Na,  ,19.05,0.136000,3614.44,2032.29,4166.60
OR And      , 23 04 37.4  , +49 27 24   ,NL,VY,14.43,0.135900,1464.74,90.01,100.93
HL Aqr      , 22 20 26.9  , +02 00 54   ,NL,UX,13.43,0.135570,595.94,27.38,30.44
V393 Hya    , 11 00 17.5  , -29 51 59   ,NL,  ,15.64,0.135000,2240.93,383.75,609.31
SW Sex      , 10 15 09.4  , -03 08 34   ,NL,UX, nan,0.134938,nan,nan,nan
Aqr 1       , 22 38 43.8  , +01 08 21   ,NL,IP,18.43,0.134930,4444.09,2241.59,4623.60
BG CMi      , 07 31 29.0  , +09 56 23   ,NL,IP,14.99,0.134748,1003.46,88.22,97.44
V1494 Aql   , 19 23 05.4  , +04 57 20   ,Na,  ,17.46,0.134616,1314.48,313.00,619.24
V482 Cam    , 07 33 41.4  , +67 32 16   ,NL,SW,16.09,0.133619,556.63,20.17,21.49
V4742 Sgr   , 18 02 21.9  , -25 20 32   ,Na,IP,20.44,0.133616,-1.90,0.02,0.01
J0809+3814  , 08 09 08.4  , +38 14 06   ,NL,SW,15.23,0.133616,1290.54,120.17,142.26
J0733+2619  , 07 33 46.3  , +26 19 26   ,NL,AM,18.16,0.133400,1230.13,395.77,1115.76
J0753+0445  , 07 53 30.8  , +04 45 56   ,NL,VY,15.46,0.133000,1415.30,165.24,221.65
J0734-1706  , 07 34 18.6  , -17 06 27   ,NL,SW,17.95,0.132726,1124.32,242.19,399.20
J0837+3830  , 08 37 51.0  , +38 30 12   ,NL,AM,18.90,0.132500,993.12,303.75,809.74
MV Lyr      , 19 07 16.3  , +44 01 08   ,NL,VY,13.65,0.132335,501.11,19.19,20.61
V519 Ser    , 16 10 07.5  , +03 52 33   ,NL,AM,17.21,0.132274,326.80,17.77,20.18
V1033 Cen   , 11 41 22.9  , -64 10 14   ,NL,AM,17.98,0.131518,245.68,13.20,14.89
J1453-5521  , 14 53 41.2  , -55 21 37   ,NL,AM,15.33,0.131517,219.11,2.59,2.73
J0759+1914  , 07 59 39.8  , +19 14 17   ,DN,AM,17.93,0.130934,1668.46,585.26,1678.63
J0130+6221  , 01 30 31.9  , +62 21 32   ,DN,  ,17.53,0.130062,797.32,74.73,94.65
DK Lac      , 22 49 47.0  , +53 17 20   ,Na,VY,16.88,0.129600,2635.49,601.64,1124.37
AM Her      , 18 16 13.3  , +49 52 04   ,NL,AM,13.58,0.128927,87.76,0.23,0.23
KQ Mon      , 07 31 21.1  , -10 21 50   ,NL,UX,13.24,0.128000,628.58,16.75,19.77
DN Gem      , 06 54 54.4  , +32 08 27   ,Na,  ,16.18,0.127844,1440.69,231.77,333.29
AH Men      , 06 11 44.1  , -81 49 24   ,NL,SW,13.79,0.127210,500.13,6.43,6.67
BX Pup      , 07 54 15.6  , -24 19 36   ,DN,ZC,15.79,0.127000,758.71,36.65,39.17
J0921-5939  , 09 21 34.1  , -59 39 07   ,  ,  ,16.85,0.126700,2754.31,640.90,1223.21
CW Hyi      , 02 30 51.1  , -68 42 05   ,NL,AM,17.37,0.126250,573.71,40.90,48.04
2141+1231   , 21 43 54.6  , +12 44 50   ,NL,  , nan,0.126000,nan,nan,nan
V4633 Sgr   , 18 21 40.5  , -27 31 38   ,Na,NL, nan,0.125567,nan,nan,nan
J2319+2615  , 23 19 30.3  , +26 15 19   ,NL,AM,17.06,0.125440,526.96,40.34,48.80
LQ Peg      , 21 36 19.1  , +11 40 55   ,NL,VY,14.80,0.124747,1098.17,95.93,112.61
J1753-3324  , 17 53 08.4  , -33 24 23   ,NL,UX, nan,0.124641,nan,nan,nan
V442 Oph    , 17 32 15.1  , -16 15 22   ,NL,VY,13.82,0.124330,499.37,10.65,11.37
J1754-3006  , 17 54 13.8  , -30 06 13   ,NL,UX,18.55,0.123985,3466.63,2140.77,4933.96
V5116 Sgr   , 18 17 50.8  , -30 26 32   ,Na,  , nan,0.123744,nan,nan,nan
DM Gem      , 06 44 12.1  , +29 56 42   ,Na,SW,17.18,0.122800,4801.60,2002.70,4227.27
J1042-6211  , 10 42 02.4  , -62 11 54   ,DN,SU,19.13,0.122000,-0.19,0.02,0.02
J0813+2813  , 08 13 52.0  , +28 13 17   ,NL,VY,18.12,0.122000,1648.09,596.73,1915.65
J2250+5731  , 22 50 37.0  , +57 31 54   ,NL,AM, nan,0.121000,nan,nan,nan
V1084 Her   , 16 43 45.7  , +34 02 40   ,NL,SW,12.37,0.120560,444.62,9.70,9.44
J1751-2933#1, 17 51 51.2  , -29 33 10   ,NL,AM,16.19,0.119700,3082.71,1554.46,4102.67
NGC 104-W8  , 00 24 10.5  , -72 04 26   ,CV,  , nan,0.119270,nan,nan,nan
HY Eri      , 05 01 46.3  , -03 59 21   ,NL,AM,20.30,0.118969,-7.33,0.02,0.01
V351 Pup    , 08 11 38.3  , -35 07 31   ,Na,  ,20.08,0.118200,3924.77,2308.31,4762.96
V630 Sgr    , 18 08 48.4  , -34 20 22   ,Na,SH,17.52,0.117930,4270.77,2048.13,4627.87
J1741-2758  , 17 41 42.4  , -27 58 30   ,NL,  ,20.01,0.117860,-0.41,0.01,0.01
J2102+3359  , 21 02 01.4  , +33 59 30   ,NL,AM,20.41,0.117800,3871.75,2401.55,4750.98
V2214 Oph   , 17 12 01.6  , -29 37 33   ,Na,  ,18.90,0.117515,1010.95,590.04,4165.77
J1432+1914  , 14 32 09.8  , +19 14 04   ,CV,  ,18.40,0.117400,1995.08,836.38,2706.79
TU Men      , 04 41 40.7  , -76 36 46   ,DN,SU,17.08,0.117200,278.65,8.20,8.74
V5627 Sgr   , 18 01 56.3  , -27 22 56   ,DN,  ,17.20,0.117161,3892.37,1780.56,3772.39
WX LMi      , 10 26 27.5  , +38 45 04   ,NL,AM,16.34,0.115924,98.58,1.58,1.66
V592 Cas    , 00 20 52.2  , +55 42 17   ,UX,SH,12.65,0.115063,455.81,11.36,11.79
J1924+4459  , 19 24 10.8  , +44 59 35   ,NL,SW,16.18,0.114379,2560.93,400.26,602.28
EU Lyn      , 07 52 40.5  , +36 28 23   ,NL,AM,20.34,0.114000,2637.18,2017.13,5081.62
V515 And    , 00 55 19.9  , +46 12 57   ,NL,IP,14.77,0.113795,1015.83,74.43,87.12
V405 Vul    , 19 53 05.0  , +21 14 49   ,DN,SU,16.33,0.113000,1652.85,192.62,243.05
2114-6437   , 21 18 49.9  , -64 25 13   ,CV,  ,14.70,0.111800,650.69,24.96,28.62
