Name,RA_Simbad,DEC_Simbad
V884 Her,18 02 06.4847972931,+18 04 43.840285332
MACHO 108.19597.3208                                                ,18 02 05.03        ,-28 18 31.5        
V5627 Sgr                                                           ,18 01 56.2568387747,-27 22 56.161533028
V2561 Oph                                                ,18 01 48.75        ,+07 00 49.6        
NOVA Sgr 1893                                                ,18 01 43.15        ,-35 39 27.8        
V1174 Sgr,18 01 37           ,-28 44.4           
OGLE BLG-DN-484                                                ,18 01 35.43        ,-29 07 30.6        
OGLE BUL-SC30   3025                                                ,18 01 32.71        ,-28 52 23.9        
NOVA Sgr 1926 a                                                ,18 01 21.02        ,-26 24 40.0        
OGLE BUL-SC30   6421                                                ,18 01 20.13        ,-28 25 57.3        
OGLE BLG-DN-472                                                ,18 01 15.58        ,-27 27 46.9        
OGLE BUL-SC30   5126                                                ,18 01 14.85        ,-28 36 24.3        
MACHO 108.19205.3394                                                ,18 01 00.00        ,-28 24 18.2        
NOVA Ser 1960                                                ,18 00 58.86        ,-10 33 52.1        
V551 Sgr,18 00 56.48        ,-34 35 45.6        
OGLE BLG-DN-450                                                ,18 00 51.56        ,-29 56 52.5        
V2493 Sgr                                                ,18 00 40.94        ,-29 00 12.6        
NOVA Sgr 1960                                             ,18 00 36.9         ,-27 17 13          
V2301 Oph,18 00 35.5318080632,+08 10 13.920659251
NOVA Sgr 1924                                             ,18 00 30.2         ,-34 36 13          
V394 CrA,18 00 25.97        ,-39 00 35.1        
OGLE BLG-DN-429                                                ,18 00 12.05        ,-30 05 16.7        
V999 Sgr,18 00 05.59        ,-27 33 14.0        
NOVA Sgr 1937                                             ,18 00 02.2         ,-30 30 31          
Sgr,18 00 01.25,-29 02 06.4
OGLE BLG-DN-424                                                ,18 00 01.21        ,-29 50 37.6        
NOVA Sgr 2002                                                       ,17 59 59.63        ,-30 53 20.5        
USNO-A2.0 0525-31255131                                                                       ,17 59 59.4714962417,-30 53 18.443410070
V735 Sgr                                                                       ,17 59 51.7863972459,-29 33 55.820829343
NOVA Sgr 1987                                                       ,17 59 45.08        ,-32 16 20.8        
V4683 Sgr                                                                       ,17 59 39.5723681223,-25 13 28.751630934
TLE Sgr I  54                                                                       ,17 59 23.1903902098,-29 02 16.342701113
V4338 Sgr                                                                       ,17 59 18.2490831334,-29 09 52.556685163
V728 C849                                                           ,17 59 16.5024282,-42 35 06.685682151
OGLE BLG-ECL-102                          ,17 59 11.72        ,-26 24 39.8        
NOVA Sgr 1954 b                                                       ,17 59 06.35        ,-36 18 40.8        
V2435 Sgr                                                                       ,17 58 54.9846383804,-29 00 37.866916440
OGLE BUL-SC20    135                                                       ,17 58 53.57        ,-29 18 59.9        
OGLE BLG-DN-376                                                                       ,17 58 32.3798494099,-27 52 43.930911188
NOVA Sgr 1975                                                       ,17 58 21.32        ,-28 21 52.7        
OGLE BUL-SC23   2872                                                       ,17 57 52.02        ,-31 05 10.1        
AS  255                                                                       ,17 57 08.7139348438,-35 15 37.810713732
USNO-A2.0 0525-30816527                                                                       ,17 57 06.6558905329,-32 23 05.368533921
V1178 Sco                                                         ,17 57 06.643       ,-32 23 05.36       
OGLE BLG-ECL-204946                                                       ,17 57 06.63        ,-32 23 03.1        
USNO-A2.0 0525-30816320                                                         ,17 57 06.626       ,-32 23 05.61       
OGLE BUL-SC22   3429                                                       ,17 56 45.15        ,-30 43 03.2        
NOVA Sco 1985                                                       ,17 56 34.14        ,-31 49 36.3        
OGLE BUL-SC22    880                                                       ,17 56 21.61        ,-31 05 41.8        
NOVA Sgr 1936                                                                       ,17 56 07.5085765497,-27 22 15.924264704
OGLE J175607.27-274847.5                          ,17 56 07.29        ,-27 48 47.4        
OGLE BLG504.14 157126                          ,17 55 53.26        ,-28 16 33.9        
NOVA Ser 1983                                                       ,17 55 52.78        ,-14 01 17.1        
NOVA Sco 1998                                                       ,17 55 24.99        ,-31 01 41.5        
V745 Sco                                                                       ,17 55 22.2273446574,-33 14 58.558723074
OGLE BLG-ECL-184108                                                       ,17 55 22.08        ,-33 15 01.9        
NOVA Sgr 2000                                                       ,17 55 09.84        ,-19 46 01.0        
OGLE BLG-DN-270                                                       ,17 55 06.03        ,-29 20 32.8        
NOVA Sgr 1963                                                    ,17 54 43.0         ,-28 41 41          
V4643 Sgr                                                                       ,17 54 40.4173452507,-26 14 15.475228923
NOVA Sco 1997                                                       ,17 54 11.33        ,-30 02 53.0        
NOVA Sco 1990                                                 ,17 54 11           ,-30 48.9           
NOVA Sco 1906                                                       ,17 54 06.16        ,-34 21 15.5        
OGLE BLG-DN-247                                                       ,17 53 47.76        ,-29 44 38.0        
OGLE BUL-SC3   6033                                                       ,17 53 47.73        ,-29 44 37.9        
NOVA Sgr 1984                                                       ,17 53 41.99        ,-29 02 08.4        
OGLE BUL-SC3   7898                                                       ,17 53 40.48        ,-29 33 44.1        
NOVA Sco 1954                                                       ,17 53 40.07        ,-30 45 31.5        
OGLE J175318.69-291717.3                                          ,17 53 18.7152593287,-29 17 17.573661887
NOVA Sco 1935                                                       ,17 53 18.08        ,-31 13 35.1        
NOVA Sgr 1951 b                                                    ,17 53 12.0         ,-29 34 25          
NOVA Sco 1944                                                                       ,17 53 11.5557902972,-35 50 14.420516406
V982 Oph                                                    ,17 52 38.5         ,+07 33 04          
V4334 Sgr                                                       ,17 52 32.69        ,-17 41 08.0        
OGLE BUL-SC41   2587                                                       ,17 52 27.08        ,-32 59 09.9        
KW Sgr                                                                       ,17 52 00.7276327565,-28 01 20.549258000
OGLE BUL-SC41   3228                                                       ,17 51 59.68        ,-32 49 09.1        
NOVA Sco 1901                                                       ,17 51 56.13        ,-35 25 05.4        
NOVA Ser 1978                                                       ,17 51 50.89        ,-14 43 50.6        
V977 Sco                                                         ,17 51 50.359       ,-32 31 57.54       
V697 Sco,17 51 21.83        ,-37 24 55.2        
NSV  9787                                                                       ,17 51 00.0677688729,+45 00 41.206180520
OGLE BUL-SC40    677                                                       ,17 50 59.99        ,-33 33 37.6        
OGLE BUL-SC40   3491                                                       ,17 50 36.66        ,-32 55 25.8        
OGLE-1997-NOVA-01                                                       ,17 50 36.09        ,-30 01 46.6        
V1172 Sgr                                                       ,17 50 23.66        ,-20 40 29.9        
V759 Sgr                                                                       ,17 50 19.6931280331,-27 25 02.376465782
V380 Oph,17 50 13.6260028700,+06 05 29.235071730
HD 162214                                                                       ,17 50 13.1592776879,-06 42 28.481553668
NOVA Sco 1952 b                                                    ,17 50 05.2         ,-35 23 58          
OGLE BLG501.24  34934                          ,17 49 54.63        ,-29 43 35.4        
V825 Sco,17 49 53.7847133400,-33 32 13.021331674
V3964 Sgr                                                         ,17 49 42.615       ,-17 23 36.18       
NOVA Ser 2005                                                       ,17 49 24.57        ,-12 59 59.2        
NOVA Sgr 1954 a                                                    ,17 48 55.0         ,-17 51 55          
[RTB2002] J174853.32-202141.7                                                         ,17 48 53.320       ,-20 21 41.70       
[PLV2002] CX22                                                         ,17 48 53.225       ,-20 21 44.01       
[PLV2002] CX21                                                         ,17 48 53.210       ,-20 21 33.39       
[RTB2002] J174853.12-202127.0                                                         ,17 48 53.123       ,-20 21 27.03       
[RTB2002] J174852.93-202139.1                                                         ,17 48 52.939       ,-20 21 39.56       
[PLV2002] CX20                                                         ,17 48 52.896       ,-20 21 49.85       
[PLV2002] CX11                                                         ,17 48 52.888       ,-20 21 35.53       
[PLV2002] CX10                                                         ,17 48 52.874       ,-20 21 31.31       
[RTB2002] J174852.85-202134.1                                                         ,17 48 52.852       ,-20 21 33.64       
[PLV2002] CX16                                                         ,17 48 52.734       ,-20 21 41.56       
[PLV2002] CX19                                                         ,17 48 52.712       ,-20 21 38.24       
[PLV2002] CX17                                                         ,17 48 52.676       ,-20 21 36.70       
[PLV2002] CX18                                                         ,17 48 52.581       ,-20 21 32.62       
[PLV2002] CX14                                                         ,17 48 52.537       ,-20 21 34.73       
[PLV2002] CX24                                                         ,17 48 52.427       ,-20 21 38.46       
[PLV2002] CX15                                                         ,17 48 52.310       ,-20 21 34.33       
[PLV2002] CX23                                                         ,17 48 52.083       ,-20 21 23.63       
[RTB2002] J174851.98-202146.7                                                         ,17 48 51.987       ,-20 21 46.57       
[RTB2002] J174851.87-202133.9                                                         ,17 48 51.870       ,-20 21 33.85       
V3888 Sgr,17 48 41.4736668973,-18 45 34.788464088
OGLE BUL-SC29    606                                                       ,17 48 38.54        ,-37 20 49.8        
NOVA Sco 1952 a                                                    ,17 48 37.0         ,-34 57 50          
NOVA Sco 1922                                                       ,17 48 26.38        ,-36 37 54.9        
OGLE BUL-SC29   1956                                                       ,17 48 25.73        ,-36 47 49.1        
2MASS J17480582+3404013                                                       ,17 48 05.82        ,+34 04 01.4        
[HEG2003] W5                                                         ,17 48 04.402       ,-24 46 38.15       
[HEG2003] W6                                                         ,17 48 04.366       ,-24 47 03.75       
CXOGlb J174804.2-244641                                                         ,17 48 04.214       ,-24 46 41.79       
CXOGlb J174804.0-244640                                                         ,17 48 04.059       ,-24 46 40.53       
[HEG2003] W10                                                         ,17 48 03.539       ,-24 46 49.24       
OGLE BUL-SC27    759                                                       ,17 47 54.19        ,-35 24 36.6        
NOVA Sco 1952                                                    ,17 47 38.0         ,-33 11 55          
OGLE BUL-SC14    587                                                       ,17 47 32.90        ,-23 27 22.9        
NOVA Sgr 2002 d                                                       ,17 47 21.74        ,-23 28 23.1        
OGLE BUL-SC26   2089                                                       ,17 47 16.37        ,-35 01 38.6        
OGLE BUL-SC28   1459                                                       ,17 46 47.20        ,-36 39 51.4        
OGLE BLG-LPV-35945                                                       ,17 46 47.18        ,-36 39 53.8        
OGLE BUL-SC14   3708                                                       ,17 46 37.39        ,-22 45 07.8        
NOVA Sco 1950 a                                                       ,17 45 43.80        ,-34 00 54.2        
RX J1745.5-2905                                            ,17 45 32.79        ,-29 05 52.3        
NOVA Sgr 2012                          ,17 45 28.03        ,-23 05 22.8        
PN G002.6+01.7                                                    ,17 45 08.6         ,-25 44 01          
V734 Sco                                                       ,17 45 02.31        ,-35 38 07.5        
[JBN2011] 93                          ,17 44 44.79        ,-26 03 30.3        
USNO-A2.0 0525-29204409                                                                       ,17 44 21.9154575164,-34 16 35.645104061
NOVA Sco 2005                                                       ,17 44 21.59        ,-34 16 35.7        
NOVA Sco 1928                                                       ,17 44 16.47        ,-35 43 23.6        
V916 Sco                                                       ,17 43 54.71        ,-36 03 26.5        
AS  239                                                                       ,17 43 33.3217797498,-22 45 36.936082814
V2290 Oph                                                    ,17 43 05.5         ,-20 07 00          
NOVA Oph 1940                                                       ,17 42 53.50        ,-24 51 26.2        
NOVA Oph 2007                          ,17 42 44.00        ,-23 40 35.1        
V721 Sco                                                                       ,17 42 29.0945057119,-34 40 41.537917556
V2024 Oph,17 42 22.20,-24 59 04.0
V660 Her,17 42 09.1619966574,+23 48 29.729206500
NOVA Oph 1961                                                       ,17 41 34.38        ,-23 23 33.1        
AE Ara                                                                       ,17 41 04.9192760059,-47 03 27.195993613
[CGC95] 10                                                         ,17 40 52.807       ,-53 41 21.89       
V810 Oph                                                                       ,17 40 49.4160220004,+07 02 34.742079889
[CGC95] 9                                                         ,17 40 47.807       ,-53 41 28.40       
[CGC95] 8                                                         ,17 40 44.084       ,-53 40 39.17       
[SCA2009] 16                                                         ,17 40 43.444       ,-53 40 12.84       
Cl* NGC 6397    SAW V33                                                         ,17 40 42.651       ,-53 40 19.30       
Cl* NGC 6397    SAW V31                                                         ,17 40 42.567       ,-53 40 27.93       
Cl* NGC 6397    SAW V34                                                         ,17 40 42.306       ,-53 40 28.70       
Cl* NGC 6397    DLO       4                                                    ,17 40 42.3         ,-53 40 31          
NGC  6397                                                       ,17 40 42.09        ,-53 40 27.6        
Cl* NGC 6397    DSZ       1                                                       ,17 40 41.69        ,-53 40 27.1        
[CGC98] CV 4                                                       ,17 40 41.67        ,-53 40 19.5        
Cl* NGC 6397    DSZ       7                                                       ,17 40 40.92        ,-53 40 26.5        
CGKB A                                                         ,17 40 38.904       ,-53 39 51.09       
[CGC95] 11                                                         ,17 40 34.202       ,-53 41 15.28       
AX J1740.3-2904                                          ,17 40 16.1010922868,-29 03 38.002729535
NOVA Oph 2012 b,17 39 56.0,-24 47 42
RT Ser                                                                       ,17 39 51.9830954180,-11 56 38.823655557
V733 Sco                                                       ,17 39 42.88        ,-35 52 38.4        
NOVA Her 1919,17 39 30.0,+21 11 00
V728 Sco,17 39 13.2398837309,-45 28 45.681446411
V794 Oph                                                       ,17 38 49.25        ,-22 50 48.9        
V2574 Oph,17 38 45.49        ,-23 28 18.5        
BF Ara,17 38 21.3277669690,-47 10 41.550154856
NOVA Oph 1938                                                       ,17 37 38.19        ,-03 14 41.8        
V2540 Oph,17 37 34.41        ,-16 23 17.9        
LAWD 68,17 37 00.7205260620,-54 25 56.562001797 
NOVA Oph 1994                                                       ,17 35 44.61        ,-19 19 34.1        
FV Ara                                                       ,17 35 10.10        ,-63 02 49.7        
V972 Oph,17 34 44.448       ,-28 10 35.39       
V442 Oph,17 32 15.1362979611,-16 15 22.067845629
V2487 Oph                                                         ,17 31 59.805       ,-19 13 56.13       
EK Aps                                                                       ,17 31 54.0392569691,-67 42 52.338491822
V1063 Oph,17 30 53.6,+10 17 03
MM Hya,17 30 45.67        ,-42 11 40.1        
AT Ara,17 30 33.8216991623,-46 05 58.772107144
V2731 Oph                                           ,17 30 21.50        ,-05 59 33.5        
SDSS J173008.38+624754.7                                                            ,17 30 08.3651485241,+62 47 54.671348581
CRTS J172951.6+220808                                          ,17 29 51.5993596385,+22 08 08.080290909
FBS B 1098,17 29 43.651,+82 26 56.53
OGLE BUL-SC49    332                                                       ,17 29 32.00        ,-40 20 49.4        
OGLE BUL-SC49    672                                                       ,17 29 29.77        ,-40 01 10.0        
2MASS J17291882-3146014                                                                       ,17 29 18.8287150672,-31 46 01.499119298
NOVA Sco 2004 b                                                       ,17 29 18.81        ,-31 46 01.5        
OGLE BUL-SC49    614                                                       ,17 29 07.69        ,-40 05 21.4        
V908 Oph,17 27 51.,-27 45
ICRF J172727.6+453039                                                                   ,17 27 27.65080470  ,+45 30 39.7313444  
OGLE BUL-SC47     70                                                       ,17 27 02.77        ,-40 09 12.1        
V2674 Oph                          ,17 26 32.19        ,-28 49 36.3        
OGLE BUL-SC47    680                                                       ,17 26 28.89        ,-39 43 07.9        
NOVA Oph 1952                                                    ,17 26 09.7         ,-21 54 28          
NOVA Sco 1949                                                       ,17 26 08.41        ,-39 04 02.5        
SDSS J172601.96+543230.7                                                         ,17 26 01.966       ,+54 32 30.78       
SHV  7898                                                                       ,17 25 58.5398167528,-35 32 31.596772759
NOVA Oph 1993                                                       ,17 25 06.41        ,-23 11 11.1        
NOVA Oph 1897                                                       ,17 24 30.02        ,-24 48 06.1        
NOVA Oph 1969                                                       ,17 24 15.93        ,-24 36 50.2        
V1007 Her,17 24 06.32        ,+41 14 10.1        
RY Ser,17 23 07.1837395461,-12 48 09.737128526
DT Aps                                                                       ,17 22 47.7600081663,-75 09 56.278388522
FSVS J1722+2723                                                       ,17 22 43.96        ,+27 23 55.7        
V2527 Oph,17 22 03.99        ,-19 49 08.1        
V729 Sco                                                       ,17 22 02.66        ,-32 05 48.8        
V478 Her,17 21 05.6184307905,+23 39 36.689131038
NOVA Oph 1991 a                                                       ,17 20 20.83        ,-26 46 26.3        
NOVA Oph 2003                                                         ,17 19 14.086       ,-27 22 35.21       
V825 Her,17 18 36.9999402002,+41 15 51.154423343
Cl* NGC 6341    FPR    8203                                                       ,17 17 06.56        ,+43 08 24.4        
V877 Ara,17 16 52.7711725151,-65 32 47.484884396
NOVA Her 1892                                                       ,17 16 38.04        ,+24 26 47.3        
V508 Dra                                          ,17 14 56.7934963404,+58 51 28.402044167
V499 Ara                                                       ,17 14 39.36        ,-58 53 51.1        
PN Sa  4-1                                                                       ,17 13 50.3510580021,+49 16 11.029774277
FBS B 1096,17 13 06.3964,+83 18 13.954
V795 Her,17 12 56.1686428004,+33 31 19.239210099
V1186 Sco,17 12 51.21        ,-30 56 37.2        
2MASS J17124772+6046031                                                                       ,17 12 47.7015928355,+60 46 03.228523562
V2400 Oph,17 12 36.4232271717,-24 14 44.775129023
V2214 Oph,17 12 01.58        ,-29 37 33.3        
SDSS J171145.08+301320.0,17 11 45.0802909598, +30 13 20.073711518
V1548 Oph                                                    ,17 11 26.0         ,-16 20 19          
PG 1710+567                                                                       ,17 11 20.4565584987,+56 35 33.090734026
V2101 Oph                                                                       ,17 09 38.0135526585,-27 18 55.811121287
V2051 Oph,17 08 19.0875545832,-25 48 31.695764973
FQ Sco                                                       ,17 08 04.51        ,-32 42 02.2        
AS  217                                                                       ,17 07 21.7347911127,-34 05 14.438321933
V992 Sco,17 07 17.4571808314,-43 15 21.903522688
EQ J170606.1+255153,17 06 06.12,+25 52 53.3
SDSS J170542.54+313240.8                                                                       ,17 05 42.5390730050,+31 32 40.775122989
V1326 Oph                                                    ,17 05 02.3         ,-18 59 29          
V601 Sco                                                       ,17 04 05.35        ,-36 43 34.3        
2MASS J17032407+3209532                                                                       ,17 03 24.0826008579,+32 09 53.221072031
V598 Sco                                                                       ,17 02 46.5764267822,-34 40 28.897563383
2MASS J17024408+2235479,17 02 44.094       ,+22 35 47.95       
V1239 Her                                                           ,17 02 13.2466307450,+32 29 54.158773442
NOVA Oph 1959                                                       ,17 01 50.00        ,-20 21 00.7        
V1237 Her                                                           ,17 00 53.2967506721,+40 03 57.807475785
V1195 Oph,17 00 21.67        ,-20 53 34.4        
V433 Ara,17 00 05.9941361446,-57 51 52.473196494
2MASS J16595166+1927454                                                            ,16 59 51.6843916626,+19 27 45.608128322
V841 Oph,16 59 30.3745002409,-12 53 27.137639551
V422 Ara                                                       ,16 59 18.86        ,-61 43 30.9        
SDSS J165837.70+184727.4                                                            ,16 58 37.7052257920,+18 47 27.328791058
PG 1657+656,16 57 23.1136975438,+65 31 28.681093643
V1229 Her                                                           ,16 56 58.1247153044,+21 21 39.379591490
LS  IV -08    3                                          ,16 56 29.6223760480,-08 34 38.708195904
NOVA Oph 1917                                                       ,16 54 43.92        ,-29 37 26.8        
SDSS J165359.06+201010.4                                                           ,16 53 59.0600699773,+20 10 10.403929945
SDSS J165244.84+333925.3                                                                       ,16 52 44.8439330045,+33 39 25.432787707
DV Sco,16 50 27.9023184819,-28 07 58.361741791
AF Sco                                                                       ,16 50 25.5987983410,-25 33 37.750634408
RW Tri,16 47 54.75        ,+77 02 12.2        
V663 Ara,16 46 57.71        ,-55 41 21.2        
AC Sco,16 46 35.1950346944,-27 23 16.870408405
V611 Her,16 44 49.4336278230,+19 59 40.011879857
AH Her,16 44 10.0057072570,+25 15 01.944744669
V1084 Her                                                           ,16 43 45.6973087857,+34 02 39.545024426
V610 Her,16 43 38.4365258890,+22 31 29.927653012
Cl* NGC 6205    FPF   21429                                                    ,16 41 45.1         ,+36 27 39          
Cl* NGC 6205    FPF   23081                                                       ,16 41 43.68        ,+36 28 04.7        
PG 1639+338                                                                       ,16 41 22.3295726709,+33 44 52.105793315
OU Vir,16 40 50.452       ,-52 25 47.99       
V544 Her,16 38 05.3897458589,+08 37 58.453398640
V2690 Oph                                                           ,16 37 22.2133481034,-00 19 57.117918200
SDSS J163605.01+465204.5                                                                       ,16 36 05.0115147070,+46 52 04.580067411
V849 Her,16 35 45.7199867698,+11 24 58.064322017
LR Nor                                                                       ,16 33 53.6370026294,-56 27 59.206547324
RX J1631.4+7354                                                       ,16 31 25.75        ,+73 54 11.4        
RX J1630.9+6950                                                    ,16 30 59.1         ,+69 50 05          
V592 Her,16 30 56.400       ,+21 16 58.49       
FL TrA,16 30 36.50        ,-61 50 28.2        
V1189 Her                                                           ,16 29 36.5308448913,+26 35 19.632572114
BD+86   252                                                                       ,16 29 23.3034100411,+86 26 00.906349571
CRTS J162830.8+240259                                                            ,16 28 30.8950821580,+24 02 59.117771421
Cl* NGC 6139    MLH V4                                                    ,16 28 08.7         ,-38 48 44          
KQ Nor                                                                       ,16 27 33.1151804674,-59 19 57.249651117
TU Oph                                                                       ,16 26 39.2642674521,-22 18 58.876639827
SDSS J162608.16+332827.8                                                                       ,16 26 08.1501307742,+33 28 27.825555881
IK Nor                                                                       ,16 25 28.9136581755,-55 20 02.992258954
V699 Oph,16 25 14.7837102306,-04 40 25.833185712
V844 Her,16 25 01.7474119287,+39 09 26.360781273
PZ Nor                                                                       ,16 24 45.8869639472,-57 14 05.274898625
[BPH2004] CX  2                                                         ,16 23 46.399       ,-26 31 15.67       
[BPH2004] CX  4                                                         ,16 23 34.321       ,-26 30 39.27       
[BPH2004] CX  1                                                       ,16 23 34.14        ,-26 31 33.7        
U Sco,16 22 30.7782086963,-17 52 43.162570042
2MASS J16221246+3411473                                                                       ,16 22 12.4478959100,+34 11 47.254251486
V589 Her,16 22 07.1556096952,+19 22 36.650242718
HP Nor                                                                       ,16 20 49.5855948068,-54 53 22.974865636
PG 1617+150                                                                       ,16 19 49.3048463461,+14 53 10.067094158
NOVA Nor 2005                                                       ,16 19 44.74        ,-51 34 53.1        
X Ser,16 19 17.6862905727,-02 29 29.527844354
SDSS J161909.10+135145.5                                          ,16 19 09.0975816179,+13 51 45.617139033
NOVA TrA 2008                          ,16 18 48.21        ,-60 27 48.9        
Cl* NGC 6093    SAW V17                                                         ,16 17 02.864       ,-22 58 32.55       
[HGE2003] CX2                                                         ,16 17 02.576       ,-22 58 36.48       
Cl* NGC 6093     DN       1                                                    ,16 17 02.2         ,-22 58 38          
[HGE2003] CX15                                                       ,16 17 02.10        ,-22 58 31.8        
[HGE2003] CX4                                                         ,16 17 02.005       ,-22 58 33.03       
[HGE2003] CX3                                                         ,16 17 01.597       ,-22 58 27.95       
Cl* NGC 6093     DN       2                                                    ,16 16 59.8         ,-22 58 18          
INTEGRAL1  19                                          ,16 16 37.7618836664,-49 58 44.567852659
V893 Sco,16 15 14.9806097394,-28 37 32.113976203
FBS 1614+711                                                                       ,16 14 23.1404980532,+70 58 19.139230001
NOVA Nor 1983                                                    ,16 13 44.4         ,-53 19 08          
SDSS J161332.56-000331.0                                                                       ,16 13 32.5544144318,-00 03 31.027448574
NOVA Oph 1893                                                       ,16 13 30.82        ,-05 18 38.6        
USNO-B1.0 0913-00257804                                                                       ,16 13 04.3851564865,+01 21 24.156802152
V794 Sco                                                                       ,16 11 03.7251630106,-09 50 37.088699170
V386 Ser                                                           ,16 10 33.6288972865,-01 02 23.209951458
SDSS J161030.35+445901.7                                                                       ,16 10 30.3585600148,+44 59 01.807441414
V519 Ser                                                           ,16 10 07.5050782337,+03 52 32.770289185
SDSS J160745.02+362320.7,16 07 45.0118838183,+36 23 20.737524863
NOVA Nor 1985 b                                                                       ,16 06 44.6736509952,-52 03 01.487761380
SDSS J160450.19+414328.5                                                                       ,16 04 50.1937928956,+41 43 28.590553270
SDSS J160111.53+091712.7                                                                       ,16 01 11.5369887869,+09 17 12.617955257
V453 Nor                                           ,16 00 47.43        ,-48 46 07.6        
VW CrB,16 00 03.6982650796,+33 11 14.245936843
T CrB                                                                       ,15 59 30.1619486506,+25 55 12.607985109
BT CrB                                                           ,15 56 56.9256814624,+35 23 36.657085987
QZ Aur,15 56 54.4739950450,+21 07 19.082928416
V493 Ser                                                           ,15 56 44.2353190604,-00 09 50.215538264
V489 Ser                                                           ,15 55 31.9965141790,-00 10 55.061446376
AP CrB                                                           ,15 54 12.3454788903,+27 21 52.288656834
MQ D058                                                           ,15 53 31.1194029,+55 16 14.478728017
NN Ser                                                                       ,15 52 56.1202658103,+12 54 44.432043501
SDSS J155252.48+320150.9                                                            ,15 52 52.4801964755,+32 01 51.018437025
MN Hya,15 52 47.1969313042,+18 56 28.845524001
SS UMi,15 51 22.3401100743,+71 45 11.834268824
SDSS J155037.27+405440.0                                                                       ,15 50 37.2759681398,+40 54 39.929958590
AB Nor,15 49 15.48        ,-43 04 48.7        
NY Lup                                                           ,15 48 14.5960047636,-45 28 39.918343697
CT Ser,15 45 39.0751738590,+14 22 31.758953863
2MASS J15445360+2553488                                          ,15 44 53.6043764062,+25 53 48.950802983
GSC 04560-02157                                          ,15 43 36.6545134844,+75 15 41.081573560
BM CrB                                                           ,15 41 04.6699788248,+36 02 52.842874783
ROTSE3 J154041.5-002703.2                                                    ,15 40 41.5         ,-00 27 03          
V344 Nor                                                                       ,15 40 30.5294930261,-51 12 54.745074197
IM Nor,15 39 26.465       ,-52 19 17.99       
SDSS J153817.33+512338.0                                                            ,15 38 17.3353623540,+51 23 37.978008677
LX Ser,15 38 00.0940371086,+18 52 03.246645222
PQ Ser                                                                       ,15 37 53.8096765844,+21 26 26.564470172
CRTS J153634.4+332852                                                            ,15 36 34.4248463430,+33 28 51.893099892
QZ Lib                                                           ,15 36 15.9750548965,-08 39 07.534277461
BR Lup,15 35 53.1486868970,-40 34 06.075136324
HP Lib,15 35 53.0716707077,-14 13 12.217891145
DM Dra,15 34 12.1797628437,+59 48 32.037733572
2MASS J15321369+3701046                                                                       ,15 32 13.6766895304,+37 01 04.877542336
AG Aps                                                                       ,15 30 21.9928038770,-75 44 39.363433138
NOVA Nor 1893                                                       ,15 29 23.18        ,-50 35 00.7        
CRTS J152857.9+034912                                                                       ,15 28 57.8625206474,+03 49 11.671034993
QU Vul,15 26 13.9669815749,+08 18 02.501064868
ES Dra,15 25 31.8170110264,+62 00 59.943846143
PG 1522+122                                                                       ,15 24 27.2431269094,+12 02 07.523768603
PG 1520-050                                                                       ,15 23 18.6196610919,-05 11 43.232562285
2E 1516.6-6827                                                    ,15 21 26.9         ,-68 38 27          
GW Lib,15 19 55.3336459070,-25 00 24.613958659
Ton  228                                                                       ,15 19 13.3169376694,+26 17 20.685658619
Cl* NGC 5904 SAW V101,15 18 14.46,+02 05 35.2
NOVA Cir 2003                                                       ,15 17 52.69        ,-61 57 16.3        
V418 Ser                                                           ,15 14 53.6390660167,+02 09 34.601784845
PP Boo                                                                       ,15 14 13.7244858812,+45 49 11.827934241
EK TrA,15 14 01.47        ,-65 05 32.1        
MV Lyr,15 13 02.2953663849,+23 15 08.408371450
Debehogne's Object                                                         ,15 10 06.348       ,-01 55 21.74       
V364 Lib                                          ,15 09 46.5741345027,-21 47 46.390422106
2MASS J15092601-6649232                                          ,15 09 26.0167449792,-66 49 23.280117933
[DWS97] Dra 8                                                 ,15 08 47           ,+55 28.4           
OV Boo                                                           ,15 07 22.3705926422,+52 30 39.807033923
EQ 1502+09                                                            ,15 04 41.7658494079,+08 47 52.567883342
NZ Boo                                                           ,15 02 41.0004962586,+33 34 24.003688271
PG 1459-026                                                                       ,15 02 12.1258338282,-02 45 57.760705422
SDSS J150137.22+550123.4                                                            ,15 01 37.2166022131,+55 01 23.285304922
USNO-A2.0 1350-08528489                                                            ,14 57 58.2258004039,+51 48 07.852947463
TT Boo,14 57 44.7550274249,+40 43 40.691526116
BZ Cir,14 54 15.1881499637,-68 16 18.632386616
BPS CS 22874-0124                                                                       ,14 50 38.6174893187,-24 22 50.002690200
KV Dra,14 50 38.3286394733,+64 03 28.998917206
1SDSS J145003.12+584501.9                                                         ,14 50 03.118       ,+58 45 01.88       
NOVA Cir 1914                                                       ,14 49 31.29        ,-68 51 35.9        
AR Cir,14 48 09.5309695951,-60 00 27.438663522
2XMM J144659.9+025330                                                            ,14 46 59.9560027151,+02 53 30.393367784
PG 1445+584                                                                       ,14 46 57.1323347496,+58 09 20.202253199
PG 1443+337                                                         ,14 46 00.666       ,+33 28 50.29       
BY Cir,14 44 53.55        ,-63 53 55.4        
UZ Boo,14 44 01.2110601160,+22 00 54.790288273
NOVA Boo 1962                                                 ,14 43 19           ,+13 41.8           
X Cir,14 42 47.0,-65 12 36
2MASS J14382831+8229397                                                                       ,14 38 28.3362093502,+82 29 39.634900977
