GCVS-Name,RA(2000),Dec(2000),PM-RA,PM-RAerr,PM-Dec,PM-Decerr,Epoch,l,b,Type,Period,Outburst,Cluster,Mag. Range,Coord-Ref.,PM-Ref,Type-Ref.,Chart-Ref.,Spect-Ref.,Period-Ref.,Other-Name,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,
Cam2,07:32:33.64,+72:41:42.6,,,,,,,,non-cv,,,,- ,,,1998-49*,,,,FBS 0726+728,,,,,,,,,,,
Cam,07:33:41.33,+67:32:15.8,4,0,-4,1,2000,148,29,nl,0.133619,,,15.0B-18.4B,2003-115,2003-115,2004-38,2004-38,2004-38S,2004-38,HS 0728+6738,,,,,,,,,,,
V445 Pup,07:37:56.88,-25:56:58.8,0.0003,0.0046,0.0048,0.0046,2000,241,-2,nc:,,2000,,8.6c-<14.c,2004-105,2004-105,T00000,A9999-99,2001-06X,,,,,,,,,,,,,
Gem,07:38:17.74,+28:55:19.7,0.00444,0.0039,0.00074,0.00389,2001.14,191,22,cv,0.0875,,,19.4s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,2003-22,SDSS J073817+285520,,,,,,,,,,,
V574 Pup,07:41:53.56,-27:06:38.1,,,,,,243,-2,n,,2004.89,,7.0p-,2004-75,,2004-76,A9999-99,2005-76X,,Nova Pup 2004,,,,,,,,,,,
Gem,07:43:55.56,+18:38:34.8,,,,,,202,20,ug,,,,20.1g-21.3 ,2006-05,,2006-05,A9999-99,2006-05S,,SDSS J074355+183834,,,,,,,,,,,
V436 Car,07:44:57.99,-52:57:11.7,28,16,164,58,2000,266,-14,dq,0.1753,,,13.6B-15.8B,2003-115*,2003-115,1998-44,1996-09,1996-09S,2002-38,Car1, RX J0744-5257,,,,,,,Y,,,
Lyn,07:45:31.92,+45:38:29.6,-0.02,0.00302,-0.04,0.00302,2003811,173,28,cv,,,,19.1g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J074531+453829,,,,,,,,,,,
UY Pup,07:46:31.24,-12:57:09.0,-0.0076,0.0014,0.0111,0.0063,2000,231,6,ugz:,0.479269,,,13.5V-15.8V,2004-105,2004-105,1982-03,1982-03,1994-07S,2004-01,153.1929,,,,,,,,,,,
Gem,07:46:40.62,+17:34:12.8,-9,0.0055,-2,0.0055,2004128,203,20,ug,,,,18.2g-21.4g,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J074640+173412,,,,,,,,,,,
Lyn,07:47:16.80,+42:48:49.0,0.00301,0.0039,-0.00027,0.00389,2000262,177,28,nl,,,,17.1s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,,SDSSp J074716+424849,,Y,,,,,,,,,
Gem,07:48:13.54,+29:05:09.2,0.01008,0.0039,-0.0005,0.00389,2001888,191,24,nl,0.0597,,,18.8s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,2004-45,SDSS J074813+290509,,,,,,,,,,,
BV Pup,07:49:05.26,-23:34:00.4,-0.0078,0.0047,0.0019,0.0047,2000,240,1,ugSS,265,,,13.1V-15.9V,2004-105,2004-105,1982-03/T00000,1982-03,1995-07S,2001-34,661.1935,Y,,,,,Y,Y,,,,
Mon,07:49:10.40,-05:49:25.6,,,,,,225,10,am,0.15,,,19.0B- ,ICRS,,1998-18,1998-18,1998-18S,1998-18,RX J0749.1-0549,,,,,,,Y,,,,
UMi,07:49:38.33,+88:44:28.9,-2,1,4,0,2000,124,27,cv,,,,15.0v- ,2003-115,2003-115,1996-18,A9999-99,,,FBS 0657+888,,,,,,,,,,,
PQ Gem,07:51:17.33,+14:44:23.9,-0.00624,0.0039,0.01401,0.00389,2004289,206,20,dq,0.216359,,,14.1V-14.5V,2006-22,2006-22,1992-18,1992-18,1992-18S,1997-35,RE 0751+14,,Y,,,,,Y,Y,Y,Y,
Lyn,07:52:40.45,+36:28:23.2,,,,,,184,27,cv/am:,114,,,17.7s-,2003-22,,2003-22,A9999-99,2003-22S,2005-20,SDSS J075240+362823,,,,,,,,,,,
V716 Mon,07:52:43.57,-10:42:46.1,,,,,,,,non-cv,,,,- ,,,1995-16*,,,,NSV 3775,,,,,,,,,,,
HS Pup,07:53:24.90,-31:38:50.2,-4,0,16,0.01,2000,248,-2,na:,,1963.98,,8.0p-18.8B,2003-115,2003-115,1987-08,1987-08,1995-07S,,BV 431,,,,,,,,,,,
BX Pup,07:54:15.58,-24:19:36.5,4,2,-0.01,3,2000,242,2,ugz,127,,O,13.8V-18.0V,2003-115,2003-115,1987-20,1982-03,1995-07S,1993-31,,,,,,,,,,,,
Lyn,07:54:43.01,+50:07:29.2,-1,0.0027,4,0.0027,2003885,169,30,dq:,,,,17.3g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J075443+500729,,,,,,,,,,,
U Gem,07:55:05.23,+22:00:05.1,-0.03,0.0018,-0.0422,0.0017,2000,199,23,ugSS,0.176906,,,9.1V-15.2V,2004-105,2004-105,1983-12/T00000,1982-03,1983-12S,1993-39,BD +22 1807,Y,Y,,Y,Y,Y,Y,Y,Y,Y,
HT Cam,07:57:01.37,+63:06:01.8,,,,,,153,31,ug/dq,0.059712,,,11.9p-18.2B,ICRS,,2002-06/1998-06,1998-23,1998-06S,2002-55,RX J0757.0+6306,,,,,,,Y,,,,
DW Cnc,07:58:53.03,+16:16:45.2,-0.02398,0.0039,-0.00216,0.00389,2004287,205,22,dq/vy,0.059793,,,15v-17.5v,2006-22,2006-22,2004-15/2004-16,1991-15,1988-07S,2004-15,FBS 0756+164,,,,,,,,,,,
Pup,07:59:01.,-43:49:06.,,,,,,259,-7,n::,,1673.03,,3v-20p,C00003,,1987-08,1987-08*,,,NSV 3846,,,,,,,,,,,
Cam,07:59:26.36,+59:53:51.6,-18,2,-4,3,2000,157,32,cv,,,,17.5p-19.8V,2003-115,2003-115,1998-28,A9999-99*,1999-18S:,,SBS 0755+600,,,,,,,,,,,
Cnc,07:59:39.79,+19:14:17.3,3,0.00283,1,0.00283,2004128,202,23,cv/am:,,,,18.2g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J075939+191417,,,,,,,,,,,
Cnc,08:01:42.37,+21:03:45.8,-0.00858,0.0039,-0.02288,0.00389,2003077,201,24,cv,,,,18.8s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J080142+210345,,,,,,,,,,,
Car2,08:02:00.18,-53:27:50.8,99,0.0119,0.0301,0.0122,1998936,268,-12,nl,,,,15.8p- ,2000-108,2000-108,1989-16,1969-02,1977-04S:,,BPM 18764,,,,,,,,,,,
Lyn,08:02:15.34,+40:10:47.0,-0.0064,0.01372,-0.00543,0.01428,1956555,180,30,nl,,,,16.7s-,2002-137,2002-137,2003-22,A9999-99,2003-22S,,SDSS J080215+401047,,,,,,,,,,,
Cnc,08:03:03.90,+25:16:27.0,,,,,,197,26,cv,71,,,19.6s-,2005-32,,2005-32,A9999-99*,2005-32S,2005-32,SDSS J080303+251627,,,,,,,,,,,
HZ Pup,08:03:22.83,-28:28:28.3,,,,,,246,1,na,213,1963.13,,7.7p-17.0B,ICRS,,1987-08,1987-08,1995-07S,1997-55,S 8438,,,,,,,,,,,
V516 Pup,08:03:45.61,-47:48:44.6,,,,,,263,-9,am,0.0952,,,16.2B-18.5B,ICRS,,1999-06,A9999-99,1999-06S,1999-06,RX J0803-4748,,,,,,,Y,,,,
Lyn,08:04:34.20,+51:03:49.2,-99,0.00545,5,0.00545,2003811,168,32,cv,0.0592,,,17.9g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,2006-05,SDSS J080434+510349,,,,,,,,,,,
Cnc,08:06:22.97,+15:27:31.4,,,,,,207,23,ibwd,0.003721,,,20V- ,ICRS*,,2002-26,1999-60,2002-26S,2004-100,RXS J0806.3+1527,,,,,,,Y,,,,
Z Cha,08:07:27.77,-76:32:00.8,-0.0928,0.0117,0.0292,0.0122,1998155,289,-22,ugsu,0.074499,,,11.9V-17.2V,2000-108,2000-108,1987-20,1982-03*,1981-09S,2002-133,S 4893,Y,Y,,,Y,Y,Y,,,,
VZ Gem,08:07:47.,+30:50:54.,,,,,,191,29,n::,,1856.,,8.7v-<21 ,C00003*,,1987-08,1987-08:*,,,BD +31 1736,,,,,,,,,,,
Cnc,08:08:46.19,+31:31:06.0,-0.00137,0.0039,-0.00566,0.00389,2001967,190,29,ug,,,,14.5V-19.4s,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J080846+313106,,,,,,,,,,,
Lyn,08:08:55.38,+56:15:02.5,,,,,,,,non-cv,,,,-,,,2002-22*,,,,SBS 0804+563,,,,,,,,,,,
Lyn,08:09:08.40,+38:14:06.3,1,0.0039,0.00266,0.00389,2001142,183,31,nl,133,,,15.6s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,2005-42,SDSS J080908+381406,,Y,,,,,,,,,
Vel,08:10:06.06,-49:14:18.1,,,,,,,,non-cv,,,,-,,,2002-92*,,,,CPD -48 1517,,,,,,,,,,,
YZ Cnc,08:10:56.65,+28:08:33.3,0.0195,0.0017,-0.0518,0.0041,2000,194,28,ugsu,0.0868,,,10.5V-15.5V,2004-105,2004-105,1987-20,1982-03,1983-12S,1988-27,BV 131,Y,Y,,,Y,Y,Y,,,,
V351 Pup,08:11:38.40,-35:07:30.5,,,,,,253,-1,n/am,0.1182,1991.99,,6.4p-19.6V,ICRS,,2004-92,2000-15,1996-53X,2001-79,,Y,Y,,,,,Y,,Y,,
CP Pup,08:11:46.06,-35:21:05.0,-0.0051,0.0048,0.0035,0.0047,2000,253,-1,na,0.06143,1942.86,,0.5v-15.2B,2004-105,2004-105,1987-08,1987-08,1982-15S,1989-23,He 3-130,Y,Y,,,Y,Y,,,Y,,
SU UMa,08:12:28.27,+62:36:22.4,11,5,-0.0257,5,2000,154,33,ugsu,0.07635,,,11.2V-15.0V,1987-28,1987-28,1987-20,1987-04,1987-05S,1986-26,PG 0808+627,Y,,,Y,Y,Y,Y,,Y,,
Cnc,08:12:56.85,+19:11:57.8,9,0.00242,-16,0.00242,2004207,204,26,cv,,,,15.8g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J081256+191157,,,,,,,,,,,
Lyn,08:13:21.92,+45:28:09.4,0.00696,0.0039,-0.0037,0.00389,2000.26,174,33,cv,289,,,18.3s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,2004-01,SDSSp J081321+452809,,,,,,,,,,,
DY Pup,08:13:48.47,-26:33:56.4,,,,,,246,4,nb:,139,1902.88,,7.0p-19.6V,ICRS,,1987-08,1987-08,1996-01S,1999-81,HV 3600,,,,,,,,,,,
Cnc,08:13:52.02,+28:13:17.3,-0.0016,0.0039,-0.0039,0.00389,2002849,194,29,nl,0.11,,,17.2s-,2006-22,2006-22,2005-32*,A9999-99,2005-32S,2005-32,SDSS J081352+281317,,,,,,,,,,,
VV Pup,08:15:06.78,-19:03:17.8,0.0102,5,-0.0541,5,2000,240,9,am,0.069747,,,14.5V-18.0V,1987-28,1987-28,1984-15,1983-12,1983-12S,1980-10,1E 0812-1854,Y,Y,,,Y,Y,Y,,Y,Y,
IX Vel,08:15:18.99,-49:13:19.8,-0.02695,0.00098,-0.09582,0.00089,1991.25,265,-8,ux,0.193927,,,9.1v-10.0v,1997-45,1997-45,1987-20,ACPD,1983-01S,1999-66,CPD -48 1577,Y,Y,,,,Y,Y,,Y,Y,
Lyn,08:16:10.83,+45:30:10.2,0.00301,0.0039,0.00139,0.00389,2000257,174,33,cv,,,,20.1s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,,SDSSp J081610+453010,,,,,,,,,,,
Lyn,08:20:51.07,+49:34:31.7,0.00185,0.0039,-0.01962,0.00389,2000336,170,35,am,0.06901,,,18.0V-19.3V,2006-22,2006-22,2000-29,1998-23,1999-19S,2002-102,1RXS J082051+493433,,,,,,,Y,,,,
BH Lyn,08:22:36.04,+51:05:24.6,-0.01009,0.0039,-0.01056,0.00389,2000262,168,35,vy,0.155875,,,14.5V-17.2V,2006-22,2006-22,1995-41,1982-06,1991-03S,1997-48,PG 0818+513,,Y,,,,,,,,,
Lyn,08:24:09.73,+49:31:24.4,-0.00048,0.0039,-0.00437,0.00389,2000257,170,35,cv,,,,19.3s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,,SDSSp J082409+493124,,,,,,,,,,,
Cnc,08:24:57.15,+07:37:02.4,,,,,,217,24,cv,,,,18.6g-,2006-05,,2006-05,A9999-99,2006-05S,,SDSS J082457+073702,,,,,,,,,,,
Z Cam,08:25:13.18,+73:06:39.2,-0.0081,2,-18,0.0021,2000,141,32,ugz,0.289841,,,10.5v-14.8v,2000-110,2000-110,1987-20,1983-12,1983-12S,1995-68,183.1904,Y,,,,Y,Y,Y,,Y,,
AT Cnc,08:28:36.92,+25:20:03.0,-0.0086,1,5,0.0007,2000,199,31,ugz,0.2011,,,12.7B-16.2B,2004-105,2004-105,1995-41,1968-10,1994-07S,1999-69,Ton 323/GR 151,,,,,,,,,,,
Cam3,08:32:45.67,+73:37:07.9,,,,,,,,non-cv,,,,- ,,,2000-35*,,,,FBS 0827+738,,,,,,,,,,,
WX Pyx,08:33:05.74,-22:48:32.2,,,,,,245,10,am:/dq,0.2307,,,16.2V-17.7V,ICRS,,1990-08/1995-16,1990-08,1990-08S,2005-62,Pyx2, 1E 0830.9-2238,,,,,Y,,,,,
DE Cnc,08:35:27.25,+19:45:30.6,,,,,,205,31,UG,,,,14.6p-18.0V,ICRS,,T00000,1977-06,1998-03S*,,S 10803,,,,,,,,,,,
CC Cnc,08:36:19.15,+21:21:05.4,0.00461,0.0039,-0.01308,0.00389,2004287,204,32,ugsu,0.07352,,,13.1B-18.8B,2006-22,2006-22,1997-17,1982-03,1992-01S,1997-36,,,,,,,,,,,,
SW UMa,08:36:42.74,+53:28:38.1,-0.02615,0.0039,0.00848,0.00389,2000336,165,37,ugsu/dq,0.056815,,,9.V-17.0V,2006-22,2006-22,1987-20/1994-46,1983-12,1983-12S,1988-23,44.1909,Y,Y,,,,Y,Y,,,,
BB Vel,08:36:49.,-47:22:39.,,,,,,265,-4,ug,,,,13.8v-17.9V,ICRS,,1984-06,1982-03*,1995-07S,,,,,,,,,,,,,
AA Cnc,08:37:23.11,+26:12:28.7,,,,,,,,non-cv,,,,- ,,,1982-03*,,,,G 40-31,,,,,,,,,,,
Lyn,08:37:51.00,+38:30:12.5,-0.00905,0.0039,-0.00793,0.00389,2001888,184,37,am,0.1325,,,19.1s-,2006-22,2006-22,2005-32,A9999-99,2005-32S*,2005-63,SDSS J083751+383012,,,,,,,,,,,
EI UMa,08:38:21.99,+48:38:02.1,2,0.00268,-4,0.00268,2000906,171,37,ug,0.2681,,,13.4p-14.9p,2006-22,2006-22,1995-41,1982-06,1986-05S,1986-05,PG 0834+488,Y,,,Y,,Y,Y,,Y,,
UMa,08:38:45.23,+49:10:55.4,0.00338,0.0039,-0.01293,0.00389,2000259,170,37,cv,,,,19.6s-,2006-22,2006-22,2002-05,A9999-99,2002-05S,,SDSSp J083845+491055,,,,,,,Y,,,,
Cnc,08:39:31.35,+28:28:24.0,-0.0067,0.0039,-0.01478,0.00389,2003085,196,35,cv,,,,20.2s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J083931+282824,,,,,,,,,,,
RX Vol,08:39:32.16,-66:17:39.0,,,,,,281,-15,ugsu,,,,15p-20.0R,ICRS,,2003-82,2005-22*,2005-22S,*,S 6185,,,,,,,,,,,
Cnc,08:40:26.16,+22:04:44.6,3,0.00345,-28,0.00345,2004289,203,33,cv,,,,19.9g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J084026+220444,,,,,,,Y,,,,
Hya,08:40:54.15,+04:55:19.2,0.00387,0.00427,-0.0081,0.00427,2002118,221,27,nl,,,,15.7g-,2006-05,2006-22,2006-05,A9999-99,2006-05S,,SDSS J084054+045519,,,,,,,,,,,
EG Cnc,08:43:03.99,+27:51:49.7,-0.00938,0.0039,-0.00168,0.00389,2003077,197,36,ugwz,0.05877,,,11.4V-17.7V,2006-22,2006-22,1998-66,1986-13,1997-07S,2004-90,,,Y,,,,,,,,,
Hya,08:44:00.10,+02:39:19.3,-15,0.00511,-13,0.00511,2001138,224,26,cv,,,,18.3s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,,SDSS J084400+023919,,,,,,,,,,,
AC Cnc,08:44:27.13,+12:52:32.0,0.0021,5,0.0099,5,2000,214,31,ux,0.300478,,,13.8V-15.4V,1987-28,1987-28,1984-16,1986-13,1982-07S,2004-97,1H 0841+1303,Y,,,Y,,,Y,,,,
Cnc,08:46:17.12,+24:34:44.1,,,,,,201,35,dq:,,,,19.9g-,2006-05,,2006-05,A9999-99,2006-05S,,SDSS J084617+243444,,,,,,,,,,,
FV Cnc,08:48:01.78,+18:40:37.3,,,,,,,,non-cv,,,,-,,,2005-56*,,,,HIP 43199,,,,,,,,,,,
CT Hya,08:51:07.39,+03:08:34.3,-0.00204,0.0039,0.00562,0.00389,2001137,225,27,ugsu,,,,14.0V-19.9V,2006-22,2006-22,1996-37,1982-03,,*,114.1936,,,,,,,,,,,
EU Cnc,08:51:27.19,+11:46:57.0,,,,,,216,32,am:,0.0871,,O,20.4V-21.0V,ICRS*,,1995-41,1991-01,,1991-01,M67-186,,,,,,,,,,,
SY Vol,08:53:26.06,-71:12:48.3,18,21,12,2,2000,286,-17,ug,,,,15.5p-<17.5p,2003-115,2003-115,1998-21,1998-21,1998-21S,,S 6203,,,,,,,Y,,,,
BZ UMa,08:53:44.17,+57:48:40.6,0.02737,0.0039,-0.01593,0.00389,2000262,159,39,ugsu,0.06799,,,10.2V-15.9V,2006-22,2006-22,1994-37,1987-04,1989-06S,1994-37,PG 0849+580,Y,Y,,Y,,,Y,,,,
Lyn,08:54:14.02,+39:05:37.3,0.00676,0.0039,-0.03925,0.00389,2001967,183,40,cv,,,,16.4B-,2006-22,2006-22,2001-10,2001-10,2001-10S,,EUVE J0854+390,,,,,,,Y,,,Y,
AK Cnc,08:55:21.19,+11:18:15.5,-24,5,0.06,5,2000,217,32,ugsu,0.0651,,,12.8V-18.9V,2003-115,2003-115,1994-38,1982-03,1992-01S,1998-58,77.1933,,,,,,,,,,,
Cnc,08:56:23.00,+31:08:33.9,-0.00521,0.0039,-0.01714,0.00389,2003066,194,39,cv,,,,20.0s-,2006-22,2006-22,2005-32,A9999-99,2005-32S*,,SDSS J085623+310834,,,,,,,,,,,
CU Vel,08:58:33.05,-41:47:51.8,0.03,12,-58,5,2000,264,3,ugsu,0.0785,,,10.7V-17.0V,2003-115,2003-115,1987-20,1982-03,1995-07S,1996-63,HV 8171,,,,,,,Y,,Y,,
CQ Vel,08:58:50.48,-53:20:11.2,,,,,,272,-5,na:,,1940.30,,9.0p-21j,ICRS,,1987-08,2001-79*,2005-01S,,,,,,,,,,,,,
Hya,08:59:09.18,+05:36:54.5,0.01459,0.0039,-0.01057,0.00389,2002173,223,31,am,,,,17V- ,2006-22,2006-22,1999-12,A9999-99,1999-12S:,,RXS J0859.1+0537,,,,,,,Y,,,,
VZ Pyx,08:59:19.84,-24:28:55.3,-0.0212,0.0049,-0.0064,0.0046,2000,250,14,ugsu,0.07332,,,11V-17V,2004-105,2004-105,1996-29,1994-10,1994-10S,1997-36,Pyx1, 1H 0857-242,Y,,,Y,,,Y,,,
Lyn,09:00:16.56,+43:01:18.2,-0.01885,0.0039,-0.00615,0.00389,2001953,178,41,cv,,,,18.9s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,*,SDSS J090016+430118,,,,,,,,,,,
SY Cnc,09:01:03.34,+17:53:56.1,-0.02893,3,-0.00699,3,1991.25,210,36,ugz,0.38,,,11.1V-14.5V,2001-119,2001-119,1987-20,1982-03,1983-12S,1983-24,BD +18 2101,Y,,,,,Y,Y,,,,
UMa,09:01:03.94,+48:09:11.1,-0.0026,0.0039,-0.01328,0.00389,2001142,171,41,cv,,,,19.3s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,,SDSS J090103+480911,,,,,,,,,,,
BP Lyn,09:03:08.89,+41:17:47.6,0.00812,0.0039,-0.01942,0.00389,2002022,180,42,ux,0.152812,,,14.5V- ,2006-22,2006-22,1994-49,1986-06,1994-12S,1996-70,Lyn1, PG 0859+415,Y,Y,,,,,,,,
BI Lyn,09:03:19.45,+39:51:01.0,,,,,,,,non-cv,,,,- ,,,1984-10*,,,,PG 0900+401,,,,,,,,,,,
Lyn,09:03:50.73,+33:00:36.1,0.0019,0.0039,-0.01013,0.00389,2003066,191,41,cv,54,,,18.8s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,2005-32,SDSS J090350+330036,,,,,,,,,,,
Hya,09:04:03.49,+03:55:01.2,0.00126,0.0039,-0.00019,0.00389,2001137,226,31,cv,,,,19.2s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J090403+035501,,,,,,,,,,,
T Pyx,09:04:41.51,-32:22:47.6,-2,0.0046,-0.0088,5,2000,257,-1,nrb,0.076223,1902.,,6.5v-15.3v,2004-105,2004-105,1987-22,1987-08,1983-12S,1998-67,HV 3348,Y,Y,,Y,,Y,,,,,
Lyn,09:04:52.09,+44:02:55.4,0.00033,0.0039,-0.02423,0.00389,2001888,177,42,cv,,,,19.4s-,2006-22,2006-22,2004-45,A9999-99,2004-45S,,SDSS J090452+440255,,,,,,,,,,,
Hya,09:05:54.79,-05:36:08.6,,,,,,235,26,ibwd,0.02347,,,16.5V-20.3V,2003-31,,2003-32,A9999-99,2006-03S,2006-03,SN 2003aw,,,,,,,,,,,
Hya,09:06:28.25,+05:26:56.9,-0.00047,0.0039,0.00364,0.00389,2002118,224,32,ug,,,,15.5V-18.8s,2006-22,2006-22,2005-32,A9999-99,2005-32S*,,SDSS J090628+052656,,,,,,,,,,,
Lyn,09:09:38.25,+44:46:34.2,,,,,,176,43,cv/sn:,,,,13.5v- ,1972-04,,1972-04,A9999-99*,,,NSV 4394*,,,,,,,,,,,
GY Cnc,09:09:50.54,+18:49:47.5,-8,2,-0.01,1,2000,210,39,ug,0.175442,,,12.5V-17.8V,2003-115,2003-115,2000-08,1998-23,2000-08S,2005-107,RX J0909.8+1849,,Y,,,,,Y,,,,
Cnc,09:11:27.36,+08:41:40.7,-0.01,0.00382,-2,0.00382,2002951,222,35,cv,,,,19.7s-,2005-32*,2006-22,2005-32*,A9999-99,2005-32S*,,SDSS J091127+084140,,,,,,,,,,,
Car,09:12:02.45,-64:51:53.1,,,,,,282,-11,cv:,,,G,21.4u-,2005-70*,,2005-67,2005-67,,,NGC 2808-397,,Y,,,,,,,,,
Car,09:12:02.48,-64:51:38.1,,,,,,282,-11,cv:,,,G,21.6V-,2005-70*,,2005-67,A9999-99,,,NGC 2808-170,,Y,,,,,,,,,
Car,09:12:04.46,-64:51:47.8,,,,,,282,-11,cv:,,,G,20.9u-,2005-70*,,2005-67,2005-67,,,NGC 2808-222,,Y,,,,,,,,,
DI UMa,09:12:16.19,+50:53:53.9,0.01499,0.0039,-0.01714,0.00389,2001285,167,43,ugsu,0.054564,,,15.2V-18.0V,2006-22,2006-22,1996-30,1959-01,1992-01S,1999-63,NSV 4407/S 5305,,,,,,,,,,,
MM Hya,09:14:14.03,-06:47:44.8,-8,2,-12,15,2000,238,28,ug/ugwz,0.05759,,,14.2B-18.9B,2003-115,2003-115,1994-49/1994-43,1982-06,1996-01S,2003-81,Hya1, PG 0911-066,,,,,,,,,,
GZ Cnc,09:15:51.67,+09:00:49.6,-0.03409,0.0039,-0.02766,0.00389,2003074,222,36,ug/dq:,0.0883,,,13.1p-15.4p,2006-22,2006-22,2002-76,1998-23,1999-16S,2003-57,RX J0915.8+0900,,,,,,,Y,,,,
HH Cnc,09:16:50.78,+28:49:43.7,,,,,,198,43,ugSS,,,,13.7p-18.p,2002-22,,1999-58,2002-22*,2002-22S:,,Tmz V36,,,,,,,,,,,
Pyx,09:18:58.50,-29:42:37.0,,,,,,257,14,ug,0.06165,2005.19,,12.0V-,2005-27,,2005-28,A9999-99*,2005-28X:,2005-59,,,,,,,,,,,,
UMa,09:19:35.66,+50:28:25.1,-0.00088,0.0039,-0.01716,0.00389,2001142,168,44,cv,,,,19.9s-,2006-22,2006-22,2005-32,A9999-99,2005-32S*,,SDSS J091935+502825,,,,,,,,,,,
Cnc,09:19:45.11,+08:57:10.1,-0.06316,0.0039,-0.01117,0.00389,2002951,223,37,cv,58,,,18.2s-,2006-22,2006-22,2005-32,A9999-99,2005-32S*,2005-32,SDSS J091945+085710,,,,,,,,,,,
Hya,09:20:09.55,+00:42:45.0,-0.00259,0.0039,-0.01729,0.00389,1999219,231,33,cv,0.15,,,17.5s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,2003-22,SDSS J092009+004245,,,,,,,,,,,
BK Lyn,09:20:11.21,+33:56:42.4,0.00198,0.0039,0.00414,0.00389,2003178,191,45,nl/ug:,0.07498,,,15.1V-16.5V,2006-22,2006-22,1995-32/1994-49,1982-06,1992-01S,1996-67,PG 0917+342,,Y,,,,,,,,,
AR Cnc,09:22:07.57,+31:03:14.4,-0.00137,0.0039,-0.00095,0.00389,2003315,195,44,ug,0.2146,,,15.3V-<21.2V,2006-22,2006-22,1987-04,1987-04,1989-06S,1990-37,Ton 408,,,,,,,,,,,
UMa,09:22:19.55,+42:12:56.8,0.00133,0.0039,0.00644,0.00389,2002022,179,45,cv,,,,19.9s-,2006-22,2006-22,2005-32,A9999-99,2005-32S*,,SDSS J092219+421256,,,,,,,,,,,
Lyn,09:22:29.26,+33:07:43.6,-0.00462,0.0039,0.00557,0.00389,2003085,192,45,cv,,,,18.4s-,2006-22,2006-22,2005-32,A9999-99,2005-32S,,SDSS J092229+330743,,,,,,,,,,,
Leo,09:24:44.48,+08:01:51.0,-0.00924,0.0039,0.01412,0.00389,2002869,224,38,am:,,,,19.3s-,2006-22,2006-22,2005-32,A9999-99,2005-32S*,*,SDSS J092444+080150,,,,,,,,,,,
Leo,09:24:55.94,+13:20:52.4,2,5,-16,3,2000,218,40,am,169,,,17.9B- ,2003-115,2003-115,2000-10,2005-42*,2000-10S,2000-10,HS 0922+1333,,,,,,,,,,,
MR Vel,09:25:46.03,-47:58:17.8,,,,,,271,2,cbss,4.028782,,,17.0V-17.3V,ICRS,,1994-69,1994-69,1994-69S,2001-92,RX J0925.7-4758,,,,,,,Y,,,,
LMi,09:26:38.72,+36:24:02.4,-0.03188,0.0039,-0.0011,0.00389,2003066,188,46,ibwd,0.01966,,,19.0s-20.5s,2006-22,2006-22,2005-69,A9999-99,2005-69S,2005-69,SDSS J092638+362402,,,,,,,,,,,
Leo,09:28:45.,+23:11: ,,,,,,206,44,UG/N:,,,,18.5p- ,1967-07,,T00001*,A9999-99*,,,NSV 4498,,,,,,,,,,,
MN Hya,09:29:07.04,-24:05:05.4,-4,1,-16,1,2000,255,19,am,0.141244,,,17.0V- ,2003-115,2003-115,1994-04,1994-04,1994-04S,1998-59,Hya4, RX J0929-2404,,Y,,,,,Y,,,
TU Leo,09:29:50.68,+21:22:52.6,,,,,,,,non-cv,,,,- ,,,1995-44*,,,,SVS 167,,,,,,,,,,,
UMa6,09:32:14.82,+49:50:54.8,0.00032,0.0039,-0.00388,0.00389,2002022,168,46,nl,0.41838,,,16.3V- ,2006-22,2006-22,1990-25,1990-25,1997-07S,1999-78,1H 0928+500,,,,Y,,,Y,,,,
Hya,09:32:38.21,+01:09:02.5,-0.00451,0.0039,0.0005,0.00389,2000342,233,36,cv,,,,20.3s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,,SDSS J093238+010903,,,,,,,,,,,
